Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
OQ961754.1,Influenza A virus,A/Guineafowl/Illinois/22-007382-001/2022,swab,Guineafowl,,2022
OQ961722.1,Influenza A virus,A/Green-winged Teal/North Carolina/22-003830-009/2022,"Swab Pool, Cloacal/Oropharyngeal",Green-winged Teal,,2022
OQ961714.1,Influenza A virus,A/Green-winged Teal/North Carolina/22-003830-004/2022,"Swab Pool, Cloacal/Oropharyngeal",Green-winged Teal,,2022
OQ961290.1,Influenza A virus,A/Great Horned Owl/Michigan/22-012056-006/2022,"Swab Pool, Cloacal/Tracheal",Great Horned Owl,,2022
OQ961282.1,Influenza A virus,A/Great Horned Owl/Iowa/22-011678-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Great Horned Owl,,2022
OQ961210.1,Influenza A virus,A/Graylag Goose/Illinois/22-008377-005/2022,"Swab Pool, Cloacal/Oropharyngeal",Graylag Goose,,2022
OQ961202.1,Influenza A virus,A/Graylag Goose/Illinois/22-008377-002/2022,"Swab Pool, Cloacal/Oropharyngeal",Graylag Goose,,2022
OQ961194.1,Influenza A virus,A/Gadwall/Virginia/22-003923-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Gadwall,,2022
OQ961170.1,Influenza A virus,A/Gadwall/South Carolina/22-001743-004/2022,"Swab, Oral",Gadwall,,2022
OQ961122.1,Influenza A virus,A/Gadwall/North Carolina/22-001672-002/2022,"Swab Pool, Cloacal/Oropharyngeal",Gadwall,,2022
OQ961082.1,Influenza A virus,A/Gadwall/Kentucky/22-005154-004/2022,"Swab Pool, Cloacal/Oropharyngeal",Gadwall,,2022
OQ960754.1,Influenza A virus,A/Canada Goose/Wisconsin/22-009408-001/2022,"Swab, Tracheal",Canada Goose,,2022
OQ960738.1,Influenza A virus,A/Canada Goose/Tennessee/22-010667-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Canada Goose,,2022
OQ959898.1,Influenza A virus,A/Black Vulture/Florida/22-006981-001/2022,"Swab, Tracheal",Black Vulture,,2022
OQ959874.1,Influenza A virus,A/Black Swift/Michigan/22-007412-003/2022,"Swab Pool, Cloacal/Tracheal",Black Swift,,2022
OQ959706.1,Influenza A virus,A/Bald Eagle/Pennsylvania/22-009884-002/2022,"Swab, Cloacal",Bald Eagle,,2022
OQ959594.1,Influenza A virus,A/Bald Eagle/North Carolina/22-009805-002/2022,"Swab Pool, Cloacal/Oropharyngeal",Bald Eagle,,2022
OQ959490.1,Influenza A virus,A/Bald Eagle/Missouri/22-012338-009/2022,swab,Bald Eagle,,2022
OQ959426.1,Influenza A virus,A/Bald Eagle/Minnesota/22-011695-001/2022,"Swab, Tracheal",Bald Eagle,,2022
OQ959130.1,Influenza A virus,A/Bald Eagle/Florida/22-007915-002/2022,"Swab, Cloacal",Bald Eagle,,2022
OQ958706.1,Influenza A virus,A/Backyard bird/Nebraska/22-007805-002/2022,"Swab, Tracheal",Backyard bird,,2022
OQ958394.1,Influenza A virus,A/Backyard bird/Michigan/22-005440-002/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958386.1,Influenza A virus,A/Backyard bird/Michigan/22-005440-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958226.1,Influenza A virus,A/Backyard bird/Kansas/22-009024-002/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958218.1,Influenza A virus,A/Backyard bird/Kansas/22-008259-002/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958210.1,Influenza A virus,A/Backyard bird/Kansas/22-008259-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958050.1,Influenza A virus,A/American Wigeon/South Carolina/22-001743-011/2022,"Swab, Oral",American Wigeon,,2022
OQ957994.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-031/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957978.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-029/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957946.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-024/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957930.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-019/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957922.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-018/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957882.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-009/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957826.1,Influenza A virus,A/American White Pelican/Missouri/22-006970-001/2022,"Swab, Tracheal",American White Pelican,,2022
OQ957818.1,Influenza A virus,A/American White Pelican/Iowa/22-011101-007/2022,"Swab Pool, Cloacal/Oropharyngeal",American White Pelican,,2022
OQ957810.1,Influenza A virus,A/American White Pelican/Iowa/22-011101-003/2022,"Swab Pool, Cloacal/Oropharyngeal",American White Pelican,,2022
OQ957802.1,Influenza A virus,A/American White Pelican/Iowa/22-011101-001/2022,"Swab Pool, Cloacal/Oropharyngeal",American White Pelican,,2022
OQ957778.1,Influenza A virus,A/American Crow/North Dakota/22-013145-002/2022,"Swab Pool, Cloacal/Oropharyngeal",American Crow,,2022
OQ957714.1,Influenza A virus,A/American Crow/North Dakota/22-011564-003/2022,"Swab Pool, Cloacal/Oropharyngeal",American Crow,,2022
OQ957706.1,Influenza A virus,A/American Crow/North Dakota/22-011564-002/2022,"Swab Pool, Cloacal/Oropharyngeal",American Crow,,2022
OQ957658.1,Influenza A virus,A/American Black Duck/Ohio/22-009209-007/2022,"Swab Pool, Cloacal/Oropharyngeal",American Black Duck,,2022
OR421059.1,Influenza A virus,A/mallard duck/Tennessee/TN22-309/2022,Combined cloacal and oral-pharyngeal,Anas platyrhynchos,,2022
OR420998.1,Influenza A virus,A/mallard duck/Tennessee/TN22-282/2022,Combined cloacal and oral-pharyngeal,Anas platyrhynchos,,2022
OP269972.1,Influenza A virus,A/Vulpes vulpes/USA/099451/2022,brain,Vulpes vulpes,,2022
OP435198.1,Influenza A virus,A/bald eagle/Florida/W22-153B/2022,Oral-pharyngeal,Haliaeetus leucocephalus,,2022
OP377434.1,Influenza A virus,A/snow goose/Kansas/W22-177B/2022,Combined cloacal and oral-pharyngeal,Anser caerulescens,,2022
OP377418.1,Influenza A virus,A/royal tern/Florida/W22-245B/2022,Combined cloacal and oral-pharyngeal,Thalasseus maximus,,2022
OP221380.1,Influenza A virus,A/snow goose/Kansas/W22-199E/2022,Combined cloacal and oral-pharyngeal,Anser caerulescens,,2022
OP221364.1,Influenza A virus,A/snow goose/Kansas/W22-199B/2022,Combined cloacal and oral-pharyngeal,Anser caerulescens,,2022
OP221291.1,Influenza A virus,A/snow goose/Kansas/W22-199D/2022,Combined cloacal and oral-pharyngeal,Anser caerulescens,,2022
PQ720111.1,Influenza A virus,A/goose/UT/22-014696-001-original/2022,cloacal swab,goose,,2022
PQ719807.1,Influenza A virus,A/Wood Duck/WI/22-013278-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Wood Duck,,2022
PQ719791.1,Influenza A virus,A/Wood Duck/WI/22-013269-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Wood Duck,,2022
PQ719631.1,Influenza A virus,A/Wood Duck/MN/22-013394-002-original/2022,cloacal swab,Wood Duck,,2022
PQ719399.1,Influenza A virus,A/Turkey Vulture/WY/22-014910-001-original/2022,Cloacal/Tracheal Swab Pool,Turkey Vulture,,2022
PQ719359.1,Influenza A virus,A/Turkey Vulture/WI/22-012392-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Turkey Vulture,,2022
PQ719303.1,Influenza A virus,A/Turkey Vulture/UT/22-016837-001-original/2022,cloacal swab,Turkey Vulture,,2022
PQ719135.1,Influenza A virus,A/Turkey Vulture/ND/22-013420-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Turkey Vulture,,2022
PQ719087.1,Influenza A virus,A/Turkey Vulture/MN/22-013433-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Turkey Vulture,,2022
PQ718567.1,Influenza A virus,A/Swainson's Hawk/ID/22-016457-010-original/2022,Cloacal/Tracheal Swab Pool,Swainson's Hawk,,2022
PQ718207.1,Influenza A virus,A/Snow goose/MT/22-014430-004-original/2022,cloacal swab,Snow goose,,2022
PQ716703.1,Influenza A virus,A/Red-tailed hawk/WA/22-015525-002-original/2022,cloacal swab,Red-tailed hawk,,2022
PQ716159.1,Influenza A virus,A/Red-tailed hawk/MN/22-012777-002-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716119.1,Influenza A virus,A/Red-tailed hawk/MI/22-017243-020-original/2022,Cloacal/Tracheal Swab Pool,Red-tailed hawk,,2022
PQ715975.1,Influenza A virus,A/Red-tailed hawk/ID/22-016457-009-original/2022,Cloacal/Tracheal Swab Pool,Red-tailed hawk,,2022
PQ715727.1,Influenza A virus,A/Red-tailed hawk/CO/22-013770-001-original/2022,oral swab,Red-tailed hawk,,2022
PQ715543.1,Influenza A virus,A/Red Fox/ND/22-017061-001-original/2022,oral swab,red fox,,2022
PQ715375.1,Influenza A virus,A/Raptor/TX/22-033108-001-original/2022,tracheal swab,Raptor,,2022
PQ715359.1,Influenza A virus,A/Peregrine falcon/WY/22-014780-001-original/2022,tracheal swab,Peregrine falcon,,2022
PQ715327.1,Influenza A virus,A/Peregrine falcon/TX/22-017713-001-original/2022,Virus Isolate,Peregrine falcon,,2022
PQ715191.1,Influenza A virus,A/Peregrine falcon/MI/22-017243-023-original/2022,Cloacal/Tracheal Swab Pool,Peregrine falcon,,2022
PQ715055.1,Influenza A virus,A/Pelican/MO/22-012338-011-original/2022,Cloacal/Tracheal Swab Pool,Pelican,,2022
PQ714943.1,Influenza A virus,A/Parasitic jaeger/AK/22-023557-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Parasitic jaeger,,2022
PQ714847.1,Influenza A virus,A/Owl/MT/22-013941-002-original/2022,cloacal swab,Owl,,2022
