Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
PV494557.1,Influenza A virus,A/cattle/CA/25-003975-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PV494549.1,Influenza A virus,A/cattle/CA/25-002697-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PV493656.1,Influenza A virus,A/cattle/CA/24-035000-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV493648.1,Influenza A virus,A/cattle/CA/24-034951-001-original/2024,milk,cattle,,2024
PV456955.1,Influenza A virus,A/cattle/CA/24-038628-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PV456707.1,Influenza A virus,A/cattle/CA/24-037371-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV338935.1,Influenza A virus,A/cattle/CA/25-004243-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PV218876.1,Influenza A virus,A/cattle/CA/24-038303-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PV218812.1,Influenza A virus,A/cattle/CA/24-035201-003-original/2024,"Milk, Bulk Tank",cattle,,2024
PV161842.1,Influenza A virus,A/chicken/CA/25-000045-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV161634.1,Influenza A virus,A/chicken/CA/24-038655-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV161530.1,Influenza A virus,A/chicken/CA/24-038444-002-original/2024,Oropharyngeal Swab,chicken,,2024
PV161498.1,Influenza A virus,A/chicken/CA/24-038428-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV161466.1,Influenza A virus,A/chicken/CA/24-035979-005-original/2024,Oropharyngeal Swab,chicken,,2024
PV161402.1,Influenza A virus,A/cattle/CA/24-038321-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PV161354.1,Influenza A virus,A/cattle/CA/24-037556-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV160906.1,Influenza A virus,A/cattle/CA/24-034994-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV160810.1,Influenza A virus,A/cattle/CA/24-034698-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV160746.1,Influenza A virus,A/cattle/CA/24-034246-001-original/2024,milk,cattle,,2024
PV160706.1,Influenza A virus,A/cattle/CA/24-034203-001-original/2024,milk,cattle,,2024
PV160338.1,Influenza A virus,A/cattle/CA/24-031619-002-original/2024,milk,cattle,,2024
PV160330.1,Influenza A virus,A/cattle/CA/24-031619-001-original/2024,milk,cattle,,2024
PV159658.1,Influenza A virus,A/Mountain Lion/NV/24-038822-001-original/2024,Blood Swab,Mountain Lion,,2024
PV071824.1,Influenza A virus,A/cattle/CA/24-033530-001-original/2024,milk,cattle,,2024
PV071784.1,Influenza A virus,A/cattle/CA/24-033506-003-original/2024,milk,cattle,,2024
PV071696.1,Influenza A virus,A/cattle/CA/24-033477-001-original/2024,milk,cattle,,2024
PV071632.1,Influenza A virus,A/cattle/CA/24-032641-001-original/2024,milk,cattle,,2024
PV071392.1,Influenza A virus,A/cattle/CA/24-032022-001-original/2024,milk,cattle,,2024
PV060220.1,Influenza A virus,A/cattle/CA/24-030587-001-original/2024,milk,cattle,,2024
PQ843969.1,Influenza A virus,A/cattle/CA/24-034697-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ843841.1,Influenza A virus,A/cattle/CA/24-032017-001-original/2024,milk,cattle,,2024
PQ833472.1,Influenza A virus,A/chicken/CA/24-036644-001-original/2024,Oropharyngeal Swab,chicken,,2024
PQ833440.1,Influenza A virus,A/chicken/CA/24-036326-001-original/2024,Oropharyngeal Swab,chicken,,2024
PQ833424.1,Influenza A virus,A/chicken/CA/24-034727-001-original-repeat/2024,swab,chicken,,2024
PQ833280.1,Influenza A virus,A/chicken/CA/24-033225-001-original/2024,swab,chicken,,2024
PQ831688.1,Influenza A virus,A/cattle/CA/24-037209-001-original/2024,milk,cattle,,2024
PQ831336.1,Influenza A virus,A/cattle/CA/24-037168-002-original/2024,"Milk, Bulk Tank",cattle,,2024
OR979594.1,Influenza A virus,A/chicken/Atacama/235254-6/2023,Combined cloacal and tracheal,Gallus gallus,,2023
OR979563.1,Influenza A virus,A/Peruvian booby/Arica y Parinacota/235900-1/2023,Combined cloacal and tracheal,Sula variegata,,2023
OQ455433.1,Influenza A virus,A/Pelican/CHL/226618-1/2022,tracheal swab,Pelecanus thagus,,2022
PP755822.1,Influenza A virus,A/cattle/Texas/24-009110-024/2024,milk,cattle,,2024
PP752678.1,Influenza A virus,A/cattle/Texas/24-009088-001/2024,milk,cattle,,2024
PQ010822.1,Influenza A virus,A/Cattle/Texas/24-009110-009-original/2024,milk,cattle,,2024
PP752878.1,Influenza A virus,A/cattle/Texas/24-009110-007/2024,milk,cattle,,2024
PP752782.1,Influenza A virus,A/cattle/Texas/24-009110-002/2024,milk,cattle,,2024
PP737542.1,Influenza A virus,A/bovine/Ohio/B24OSU-UW11-863/2024,Udder wipe,bovine,,2024
PV643499.1,Influenza A virus,A/dairy cow/Ohio/OH24-10989-54/2024,urine,Bos taurus,,2024
PV643459.1,Influenza A virus,A/cat/Ohio/OH24-9576-7/2024,brain,Felis catus,,2024
PV459259.1,Influenza A virus,A/Dairy cow/ID/W241140067-9/2024,milk,dairy cow,,2024
PQ664028.1,Influenza A virus,A/cattle/MI/24-024344-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ663996.1,Influenza A virus,A/cattle/ID/24-028356-001-original/2024,milk,cattle,,2024
PQ529099.1,Influenza A virus,A/cattle/CO/24-026553-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ482172.1,Influenza A virus,A/cattle/MI/24-013172-002-original/2024,milk,cattle,,2024
PQ423397.1,Influenza A virus,A/cattle/CO/24-022845-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ379578.1,Influenza A virus,A/cattle/MN/24-019617-011-original/2024,milk,cattle,,2024
PQ379378.1,Influenza A virus,A/cattle/MI/24-019382-007-original-repeat2/2024,milk,cattle,,2024
PQ379330.1,Influenza A virus,A/cattle/ID/24-019780-002-original/2024,milk,cattle,,2024
PQ378994.1,Influenza A virus,A/cattle/CO/24-021996-002-original/2024,milk,cattle,,2024
PQ378946.1,Influenza A virus,A/cattle/CO/24-021340-001-original/2024,milk,cattle,,2024
PQ378786.1,Influenza A virus,A/cattle/CO/24-020797-005-original/2024,milk,cattle,,2024
PQ378250.1,Influenza A virus,A/cattle/CO/24-018772-013-original/2024,milk,cattle,,2024
PQ378122.1,Influenza A virus,A/cattle/CO/24-018334-010-original/2024,milk,cattle,,2024
PQ378002.1,Influenza A virus,A/cattle/CO/24-018149-003-original/2024,milk,cattle,,2024
PQ377994.1,Influenza A virus,A/cattle/CO/24-018030-005-original/2024,milk,cattle,,2024
PQ377818.1,Influenza A virus,A/cattle/CO/24-018027-005-original/2024,milk,cattle,,2024
PQ377762.1,Influenza A virus,A/cattle/CO/24-017662-008-original/2024,milk,cattle,,2024
PQ377682.1,Influenza A virus,A/cattle/CO/24-017154-006-original/2024,milk,cattle,,2024
PQ377618.1,Influenza A virus,A/cattle/CO/24-017152-014-original/2024,milk,cattle,,2024
PQ377546.1,Influenza A virus,A/cattle/CO/24-017148-001-original/2024,milk,cattle,,2024
PQ328803.1,Influenza A virus,A/cattle/MI/24-014001-002-original/2024,milk,cattle,,2024
PQ328787.1,Influenza A virus,A/cattle/CO/24-022160-001-original/2024,milk,cattle,,2024
PQ220787.1,Influenza A virus,A/cattle/TX/24-019890-002-original/2024,milk,cattle,,2024
PQ220755.1,Influenza A virus,A/cattle/MI/24-010661-014-original/2024,milk,cattle,,2024
PQ135448.1,Influenza A virus,A/cattle/ID/24-017489-002-original/2024,milk,cattle,,2024
PQ135440.1,Influenza A virus,A/cattle/ID/24-017483-003-original/2024,milk,cattle,,2024
PQ109682.1,Influenza A virus,A/cattle/TX/24-015837-002-original-repeat2/2024,milk,cattle,,2024
PQ109570.1,Influenza A virus,A/cattle/ID/24-016688-001-original/2024,milk,cattle,,2024
PQ109482.1,Influenza A virus,A/cattle/ID/24-016437-019-original/2024,milk,cattle,,2024
PQ052661.1,Influenza A virus,A/cattle/WY/24-016134-242-original/2024,milk,cattle,,2024
PQ052389.1,Influenza A virus,A/cattle/WY/24-016134-011-original/2024,milk,cattle,,2024
PQ052373.1,Influenza A virus,A/cattle/WY/24-016134-003-original/2024,milk,cattle,,2024
PQ052045.1,Influenza A virus,A/cattle/MN/24-016370-019-original/2024,milk,cattle,,2024
PQ051901.1,Influenza A virus,A/cattle/ID/24-015978-002-original/2024,milk,cattle,,2024
PQ051853.1,Influenza A virus,A/cattle/ID/24-015675-002-original/2024,milk,cattle,,2024
PQ051765.1,Influenza A virus,A/cattle/ID/24-015196-005-original/2024,milk,cattle,,2024
PQ051621.1,Influenza A virus,A/cattle/ID/24-014336-012-original/2024,milk,cattle,,2024
PQ051613.1,Influenza A virus,A/cattle/ID/24-014336-011-original/2024,milk,cattle,,2024
PQ051549.1,Influenza A virus,A/cattle/ID/24-014336-001-original/2024,milk,cattle,,2024
PQ051269.1,Influenza A virus,A/Turkey/MI/24-013788-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ051221.1,Influenza A virus,A/Red Fox/NM/24-014026-001-original/2024,Oropharyngeal Swab,red fox,,2024
PQ011758.1,Influenza A virus,A/Cattle/Ohio/24-010202-003-original/2024,milk,cattle,,2024
PQ011654.1,Influenza A virus,A/Cattle/Michigan/24-010231-001-original/2024,milk,cattle,,2024
PQ011246.1,Influenza A virus,A/Cattle/Colorado/24-012346-013-original/2024,milk,cattle,,2024
PQ011110.1,Influenza A virus,A/Chicken/Minnesota/24-014686-002-original/2024,tracheal swab,chicken,,2024
PQ011070.1,Influenza A virus,A/Goose/Idaho/24-013169-003-original/2024,swab,goose,,2024
PQ010982.1,Influenza A virus,A/Cat/New Mexico/24-010948-001-original/2024,tissue,cat,,2024
PQ010894.1,Influenza A virus,A/Cattle/Texas/24-009810-001/2024,tissue,cattle,,2024
PP756070.1,Influenza A virus,A/cattle/New Mexico/24-010330-003/2024,milk,cattle,,2024
PP755926.1,Influenza A virus,A/cattle/New Mexico/24-009306-003/2024,milk,cattle,,2024
PP755966.1,Influenza A virus,A/cattle/Texas/24-009310-006/2024,milk,cattle,,2024
PP756062.1,Influenza A virus,A/cattle/North Carolina/24-010327-002/2024,milk,cattle,,2024
PP755766.1,Influenza A virus,A/cattle/Texas/24-009495-010/2024,milk,cattle,,2024
PP755782.1,Influenza A virus,A/cattle/Kansas/24-009497-014/2024,milk,cattle,,2024
PP753758.1,Influenza A virus,A/chicken/Michigan/24-009582-003/2024,Oropharyngeal swab,chicken,,2024
PP753654.1,Influenza A virus,A/chicken/Texas/24-009654-001/2024,Oropharyngeal swab,chicken,,2024
PP753566.1,Influenza A virus,A/cattle/Texas/24-009367-023/2024,milk,cattle,,2024
PP753534.1,Influenza A virus,A/cattle/Idaho/24-009491-002/2024,milk,cattle,,2024
PP753510.1,Influenza A virus,A/cattle/Texas/24-009776-004/2024,milk,cattle,,2024
PP753462.1,Influenza A virus,A/cattle/Texas/24-009495-002/2024,milk,cattle,,2024
PP753454.1,Influenza A virus,A/cattle/Texas/24-009495-001/2024,milk,cattle,,2024
PP753438.1,Influenza A virus,A/cattle/Idaho/24-009491-006/2024,milk,cattle,,2024
PQ809552.1,Influenza A virus,A/Louisiana/12/2024 OR_IR,,Homo sapiens,,2024
PQ591838.1,Influenza A virus,A/Washington/251/2024,,Homo sapiens,,2024
LC718301.1,Influenza A virus,"A/chicken/Iwate/TU16-11,12/2022",Mixture of tracheal and cloacal swabs,Gallus gallus domesticus,,2022
LC718277.1,Influenza A virus,A/jungle crow/Hokkaido/0104B087/2022,Mixture of tracheal and cloacal swabs,Corvus macrorhynchos,,2022
LC718261.1,Influenza A virus,A/jungle crow/Hokkaido/0104B085/2022,Mixture of tracheal and cloacal swabs,Corvus macrorhynchos,,2022
LC718245.1,Influenza A virus,A/whooper swan/Iwate/0303B006/2022,Mixture of tracheal and cloacal swabs,Cygnus cygnus,,2022
LC718229.1,Influenza A virus,A/white-fronted goose/Iwate/TU16-74/2022,Mixture of tracheal and cloacal swabs,Anser albifrons,,2022
LC718221.1,Influenza A virus,A/whooper swan/Iwate/0302I001T/2022,Tracheal swab,Cygnus cygnus,,2022
PV602279.1,Influenza A virus,A/northern pintail/USA/IZ24_0772/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602143.1,Influenza A virus,A/American green-winged teal/USA/IZ24_0776/2024,oropharyngeal/cloacal swab,American green-winged teal,,2024
PV483734.1,Influenza A virus,A/Unknown/Durango/CPA-00563-25/2025,"Cloacal swab tracheal swab, trachea and allantoic fluid",unknown,,2025
PV267723.1,Influenza A virus,A/wood duck/Florida/W24-974B/2024,CL/OP swab,wood duck,,2024
PV267611.1,Influenza A virus,A/snow goose/Arkansas/AR24-102/2024,brain swab,snow goose,,2024
PV267531.1,Influenza A virus,A/green-winged teal/Texas/UGAI24-2961/2024,CL/OP swab,green-winged teal,,2024
PV267523.1,Influenza A virus,A/green-winged teal/Kentucky/W24-1039A/2024,brain swab,green-winged teal,,2024
PV267467.1,Influenza A virus,A/bald eagle/Georgia/W24-1050B/2024,CL/OP swab,bald eagle,,2024
PV267451.1,Influenza A virus,A/Ross's goose/Louisiana/W24-1056/2024,CL/OP swab,Ross's goose,,2024
PV267435.1,Influenza A virus,A/Ross's goose/Kansas/W24-1015/2024,CL/OP swab,Ross's goose,,2024
PV267427.1,Influenza A virus,A/Canada goose/Kansas/W24-962/2024,CL/OP swab,Canada goose,,2024
PV113345.1,Influenza A virus,A/Nevada/10/2025,,Homo sapiens,,2025
PQ585625.1,Influenza A virus,A/Washington/UW56071/2024,swab,Homo sapiens,,2024
PQ525414.1,Influenza A virus,A/Washington/239/2024,,Homo sapiens,,2024
LC775582.1,Influenza A virus,,conjunctival swab,Haliaeetus albicilla,,2022
LC718349.1,Influenza A virus,A/chicken/Akita/TU22-31/2022,feces,Gallus gallus domesticus,,2022
LC718325.1,Influenza A virus,"A/chicken/Aomori/TU19-107,108/2022",Mixture of tracheal and cloacal swabs,Gallus gallus domesticus,,2022
LC718317.1,Influenza A virus,"A/chicken/Aomori/TU18-143,144/2022",Mixture of tracheal and cloacal swabs,Gallus gallus domesticus,,2022
LC718309.1,Influenza A virus,"A/chicken/Miyagi/TU17-17,18/2022",Mixture of tracheal and cloacal swabs,Gallus gallus domesticus,,2022
LC718269.1,Influenza A virus,A/jungle crow/Akita/0504F001/2022,Mixture of tracheal and cloacal swabs,Corvus macrorhynchos,,2022
LC765304.1,Influenza A virus,,tracheal swab,Corvus spp.,,2023
PV696989.1,Influenza A virus,A/Anser fabalis/jiujiang/H5N1/2024,nasal swab,Anser fabalis,,2024
PV602223.1,Influenza A virus,A/northern pintail/USA/IZ24_0570/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV483742.1,Influenza A virus,A/goose/Durango/CPA-00444-25/2025,"Cloacal swab, tracheal swab, spleen, lung, trachea, cecal tonsil and allantoic fluid",goose,,2025
PV267651.1,Influenza A virus,A/snow goose/Kansas/W24-1014/2024,brain,snow goose,,2024
PV267619.1,Influenza A virus,A/snow goose/Arkansas/AR24-104/2024,brain swab,snow goose,,2024
PV267515.1,Influenza A virus,A/green-winged teal/Florida/W24-974A/2024,CL/OP swab,green-winged teal,,2024
PV177838.1,Influenza A virus,A/Wyoming/01/2025,,Homo sapiens,,2025
LC718357.1,Influenza A virus,"A/emu/Iwate/TU24-19,20/2022",Mixture of tracheal and cloacal swabs,Dromaius novaehollandiae,,2022
LC718253.1,Influenza A virus,A/jungle crow/Iwate/0304I001/2022,Mixture of tracheal and cloacal swabs,Corvus macrorhynchos,,2022
PV602231.1,Influenza A virus,A/northern pintail/USA/IZ24_0636/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV483726.1,Influenza A virus,A/Ostrich/Sonora/CPA-00009-25/2025,"Cloacal swab, spleen, lung, and allantoic fluid",Ostrich,,2025
PV267715.1,Influenza A virus,A/tundra swan/North Carolina/W24-1035/2024,brain swab,tundra swan,,2024
PV267691.1,Influenza A virus,A/snow goose/Kentucky/W24-1066/2024,CL/OP swab,snow goose,,2024
PV267491.1,Influenza A virus,A/bobcat/Kansas/W24-1062/2024,brain swab,bobcat,,2024
PP853089.1,Influenza A virus,A/chicken/Serbia/22337-21/2021,chicken spleen,chicken,,2021
LC718333.1,Influenza A virus,"A/chicken/Hokkaido/TU20-28,29/2022",Mixture of tracheal and cloacal swabs,Gallus gallus domesticus,,2022
PV267563.1,Influenza A virus,A/northern pintail/Tennessee/158/2024,CL/OP swab,northern pintail,,2024
PV267483.1,Influenza A virus,A/blue-winged teal/Louisiana/LA24-1082/2024,CL/OP swab,blue-winged teal,,2024
PQ885589.1,Influenza A virus,A/Iowa/124/2024,,Homo sapiens,,2024
PP680471.1,Influenza A virus,A/duck/Bangladesh/58828/2023,Oral-pharyngeal,Anas sp.,,2023
OR388764.2,Influenza A virus,A/feline/South Korea/SNU1/2023,nasal swab,feline,,2023
OP874618.1,Influenza A virus,A/Great_White_Pelican/Mauritania/11/2022,Esophageal tissue biopsy,Great_White_Pelican,,2022
OP590400.1,Influenza A virus,A/duck/Egypt/BA20360C/2022,Cloacal,Anas sp.,,2022
LC765296.1,Influenza A virus,,cloacal swab,Corvus spp.,,2022
PQ278129.1,Influenza A virus,A/chicken/China/Cangzhou03/2023,tracheal swab,chicken,,2023
PQ098643.1,Influenza A virus,A/Tachybaptus ruficollis/Thurgau/V0225_MP/2023,swab,Tachybaptus ruficollis,,2023
PP680245.1,Influenza A virus,A/duck/Bangladesh/58658/2023,Oral-pharyngeal,Anas sp.,,2023
OP030705.1,Influenza A virus,A/duck/Bangladesh/51601/2021,Cloacal,Anas sp.,,2021
ON870414.1,Influenza A virus,A/poultry/Benin/21-A-08-035-O/2021,Oral-pharyngeal,ENV,,2021
MW961461.1,Influenza A virus,A/chicken/Nigeria/VRD21-109_21VIR2370-425/2021,organ,chicken,,2021
PP998386.1,Influenza A virus,A/Gallus gallus domesticus/Komsomolsk-na-Amure/3404_M/2022,lung,Gallus gallus,,2022
PP998362.1,Influenza A virus,A/Gallus gallus domesticus/Komsomolsk-na-Amure/3352_M/2022,lung,Gallus gallus,,2022
PP998354.1,Influenza A virus,A/Gallus gallus domesticus/Komsomolsk-na-Amure/3350_M/2022,lung,Gallus gallus,,2022
OR388767.1,Influenza A virus,A/feline/South Korea/SNU2/2023,nasal swab,feline,,2023
PQ859352.1,Influenza A virus,A/chicken/LA/24-037801-001-original/2024,swab,chicken,,2024
PV335511.1,Influenza A virus,A/duck/Bangladesh/63950/2024,Oral-pharyngeal,Anas sp.,,2024
PQ098787.1,Influenza A virus,A/Cygnus olor/San Nazzaro/V0469_MP/2022,swab,Cygnus olor,,2022
PQ098758.1,Influenza A virus,A/Larus michahellis/Luzern/V0052_MP/2023,swab,Larus michahellis,,2023
PQ009582.1,Influenza A virus,A/duck/Bangladesh/59597/2023,Oral-pharyngeal,Anas sp.,,2023
PP680484.1,Influenza A virus,A/duck/Bangladesh/58587/2023,Oral-pharyngeal,Anas sp.,,2023
PP680478.1,Influenza A virus,A/duck/Bangladesh/58824/2023,Cloacal,Anas sp.,,2023
MW961493.1,Influenza A virus,A/chicken/Nigeria/VRD21-98_21VIR2288-6/2021,isolates,chicken,,2021
MW961469.1,Influenza A virus,A/chicken/Nigeria/VRD21-37_21VIR2288-2/2021,isolates,chicken,,2021
OP597621.1,Influenza A virus,A/goose/Chelyabinsk/1341-3/2021,internal organs,goose,,2021
PV218204.1,Influenza A virus,A/Bald Eagle/IA/25-001479-002-original/2025,Oropharyngeal Swab,Bald Eagle,,2025
PQ098766.1,Influenza A virus,A/Cygnus atratus/Truellikon/V0085_MP/2023,swab,Cygnus atratus,,2023
OQ959079.1,Influenza A virus,A/Bald Eagle/Alaska/22-013001-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Bald Eagle,,2022
PP789718.1,Influenza A virus,A/Vulpes vulpes/Tver/T23/2023,lungs,Vulpes vulpes,,2023
PV335463.1,Influenza A virus,A/duck/Bangladesh/63953/2024,Oral-pharyngeal,Anas sp.,,2024
PP763491.1,Influenza A virus,A/Avian/Nigeria/GF14-16T/2022,Oropharyngeal swabs,Avian,,2022
PQ098619.1,Influenza A virus,A/Chroicocephalus ridibundus/Zuerich/V0121_MP/2023,swab,Chroicocephalus ridibundus,,2023
PQ098598.1,Influenza A virus,A/Falco peregrinus/Zuerich/T0040_MP/2023,swab,Falco peregrinus,,2023
PP883117.1,Influenza A virus,A/duck/Bangladesh/59087/2023,Cloacal,Anas sp.,,2023
PP801777.1,Influenza A virus,A/American wigeon/USA/22-034097-007/2022,oropharyngeal/cloacal swab,American wigeon,,2022
PP680371.1,Influenza A virus,A/duck/Bangladesh/58746/2023,Oral-pharyngeal,Anas sp.,,2023
PP680227.1,Influenza A virus,A/duck/Bangladesh/58826/2023,Cloacal,Anas sp.,,2023
OR783387.1,Influenza A virus,A/garganey/Egypt/RA20851OP/2022,Oral-pharyngeal,Spatula querquedula,,2022
PP068537.1,Influenza A virus,A/duck/Bangladesh/58400/2023,Oral-pharyngeal,Anas sp.,,2023
PP052966.1,Influenza A virus,A/Anser indicus/China/ZT-BTY1/2021,bird's lungs,Anser indicus,,2021
ON870442.1,Influenza A virus,A/poultry/Benin/21-A-09-031-O/2021,Oral-pharyngeal,ENV,,2021
