job,model,score,bsa,desolv,elec,total,vdw
OQ958058_pocket6__favipiravir,../05_flexref/flexref_8.pdb,-30.189,349.665,-0.216,-13.299,-26.475,-13.177
OQ958058_pocket7__favipiravir,../05_flexref/flexref_2.pdb,-27.150,232.883,0.925,-15.608,-25.746,-10.138
OQ958058_pocket8__favipiravir,../05_flexref/flexref_1.pdb,-43.253,399.066,1.002,-29.697,-40.264,-10.568
OQ958058_pocket9__favipiravir,../05_flexref/flexref_1.pdb,-44.070,297.702,0.260,-26.370,-41.353,-14.983
OQ958058_pocket10__favipiravir,../05_flexref/flexref_5.pdb,-43.213,367.805,1.427,-28.609,-40.962,-12.353
OQ958058_pocket11__favipiravir,../05_flexref/flexref_9.pdb,-61.747,374.226,11.107,-51.659,-69.112,-17.453
OQ958058_pocket12__favipiravir,../05_flexref/flexref_7.pdb,-42.321,376.943,3.273,-30.674,-41.825,-11.151
OQ958058_pocket13__favipiravir,../05_flexref/flexref_7.pdb,-36.311,434.005,-3.943,-11.352,-28.028,-16.676
OQ958058_pocket14__favipiravir,../05_flexref/flexref_5.pdb,-43.917,365.979,-3.802,-18.949,-36.455,-17.506
OQ958058_pocket15__favipiravir,../05_flexref/flexref_2.pdb,-35.112,343.942,-8.468,-12.295,-23.183,-10.912
OQ958058_pocket16__favipiravir,../05_flexref/flexref_6.pdb,-31.205,297.304,3.525,-14.345,-31.757,-17.412
OQ958058_pocket17__favipiravir,../05_flexref/flexref_4.pdb,-61.314,399.370,5.212,-44.169,-62.532,-18.363
OQ958058_pocket18__favipiravir,../05_flexref/flexref_5.pdb,-36.068,229.609,-0.587,-24.677,-33.185,-8.508
OQ958058_pocket19__favipiravir,../05_flexref/flexref_3.pdb,-48.849,396.811,3.340,-37.112,-48.220,-11.108
GU052524_pocket1__favipiravir,../05_flexref/flexref_5.pdb,-31.128,294.344,4.120,-14.270,-32.304,-18.035
GU052524_pocket2__favipiravir,../05_flexref/flexref_2.pdb,-33.739,343.438,-3.168,-11.845,-27.137,-15.292
GU052524_pocket3__favipiravir,../05_flexref/flexref_1.pdb,-53.198,378.821,5.693,-44.121,-55.103,-10.982
GU052524_pocket4__favipiravir,../05_flexref/flexref_6.pdb,-33.276,331.990,-0.853,-18.185,-29.102,-10.917
GU052524_pocket5__favipiravir,../05_flexref/flexref_5.pdb,-31.764,375.460,-3.371,-8.428,-24.639,-16.211
GU052524_pocket6__favipiravir,../05_flexref/flexref_5.pdb,-31.498,303.020,0.561,-14.946,-29.029,-14.083
GU052524_pocket7__favipiravir,../05_flexref/flexref_5.pdb,-38.127,325.424,0.696,-25.594,-35.569,-9.975
GU052524_pocket8__favipiravir,../05_flexref/flexref_3.pdb,-38.993,367.142,5.504,-35.641,-40.825,-5.184
GU052524_pocket9__favipiravir,../05_flexref/flexref_3.pdb,-24.841,278.987,5.215,-17.732,-27.266,-9.534
GU052524_pocket10__favipiravir,../05_flexref/flexref_10.pdb,-48.372,311.707,3.366,-32.595,-48.621,-16.026
GU052524_pocket11__favipiravir,../05_flexref/flexref_2.pdb,-40.628,328.680,-2.144,-23.864,-35.197,-11.333
GU052524_pocket12__favipiravir,../05_flexref/flexref_9.pdb,-25.608,199.349,3.903,-24.370,-27.517,-3.147
