job,model,score,bsa,desolv,elec,total,vdw
PP752860_pocket1__pimodivir,../05_flexref/flexref_9.pdb,-55.553,430.219,8.541,-38.598,-59.793,-21.194
PP752860_pocket2__pimodivir,../05_flexref/flexref_9.pdb,-497.870,207.199,6.053,-631.900,-501.851,130.049
PP752860_pocket3__pimodivir,../05_flexref/flexref_3.pdb,-76.536,631.485,2.455,-39.289,-72.676,-33.387
PP752860_pocket4__pimodivir,../05_flexref/flexref_5.pdb,-63.672,293.618,-3.312,-56.477,-57.424,-0.947
PP752860_pocket5__pimodivir,../05_flexref/flexref_9.pdb,-70.460,260.571,0.110,-57.981,-67.965,-9.983
PP752860_pocket6__pimodivir,../05_flexref/flexref_7.pdb,-35.110,263.576,-3.020,-19.561,-29.454,-9.893
PP752860_pocket7__pimodivir,../05_flexref/flexref_1.pdb,-70.248,443.189,-1.144,-33.495,-64.672,-31.177
PP752860_pocket8__pimodivir,../05_flexref/flexref_2.pdb,-74.084,378.883,3.460,-62.928,-73.755,-10.828
EPI1846958_pocket1__pimodivir,../05_flexref/flexref_3.pdb,-66.630,699.503,4.357,-23.520,-63.993,-40.472
EPI1846958_pocket2__pimodivir,../05_flexref/flexref_3.pdb,-69.195,646.550,3.571,-39.485,-66.300,-26.815
EPI1846958_pocket3__pimodivir,../05_flexref/flexref_2.pdb,-546.762,580.582,4.139,-662.784,-545.095,117.689
EPI1846958_pocket4__pimodivir,../05_flexref/flexref_6.pdb,-48.080,356.556,-3.765,-24.875,-40.749,-15.875
EPI1846958_pocket5__pimodivir,../05_flexref/flexref_1.pdb,-75.098,464.819,1.379,-62.939,-71.829,-8.890
EPI1846958_pocket6__pimodivir,../05_flexref/flexref_6.pdb,-44.130,362.531,-1.807,-18.120,-38.697,-20.577
EPI1846958_pocket7__pimodivir,../05_flexref/flexref_8.pdb,-52.524,288.338,1.744,-40.570,-51.385,-10.815
EPI1846958_pocket8__pimodivir,../05_flexref/flexref_8.pdb,-43.037,361.787,-1.059,-16.289,-38.360,-22.071
GU052525_pocket1__pimodivir,../05_flexref/flexref_4.pdb,-608.832,560.235,3.144,-655.754,-606.374,49.381
GU052525_pocket2__pimodivir,../05_flexref/flexref_10.pdb,-47.736,513.996,-8.367,-9.431,-34.229,-24.797
GU052525_pocket3__pimodivir,../05_flexref/flexref_2.pdb,-81.198,583.389,5.261,-52.102,-80.625,-28.522
GU052525_pocket4__pimodivir,../05_flexref/flexref_4.pdb,-78.539,617.696,4.484,-51.643,-76.846,-25.203
GU052525_pocket5__pimodivir,../05_flexref/flexref_7.pdb,-35.111,461.381,-4.126,-3.440,-26.371,-22.931
GU052525_pocket6__pimodivir,../05_flexref/flexref_3.pdb,-83.270,588.938,2.476,-70.025,-79.857,-9.831
GU052525_pocket7__pimodivir,../05_flexref/flexref_8.pdb,-45.854,364.844,-2.921,-16.276,-39.285,-23.008
