Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
PQ687276.1,Influenza A virus,A/cattle/CA/24-029891-001-original/2024,milk,cattle,,2024
PQ829290.1,Influenza A virus,A/cattle/CA/24-032658-001-original/2024,milk,cattle,,2024
PQ482078.1,Influenza A virus,A/cattle/CA/24-025746-001-original/2024,milk,cattle,,2024
PV649400.1,Influenza A virus,A/cattle/CA/25-006274-002-original/2025,"Milk, Bulk Tank",cattle,,2025
PV649368.1,Influenza A virus,A/cattle/CA/25-005501-002-original/2025,"Milk, Bulk Tank",cattle,,2025
PV572422.1,Influenza A virus,A/cattle/CA/25-006263-003-original/2025,"Milk, Bulk Tank",cattle,,2025
PV494439.1,Influenza A virus,A/cattle/CA/24-036132-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV456445.1,Influenza A virus,A/cattle/CA/24-033529-004-original/2024,milk,cattle,,2024
PV456333.1,Influenza A virus,A/cattle/CA/24-032204-001-original-repeat2/2024,milk,cattle,,2024
PV396168.1,Influenza A virus,A/cattle/CA/24-032049-001-original/2024,milk,cattle,,2024
PV338817.1,Influenza A virus,A/cattle/CA/25-003262-001-original/2024,milk,cattle,,2024
PV218926.1,Influenza A virus,A/cattle/CA/25-001525-002-original/2025,swab,cattle,,2025
PV218918.1,Influenza A virus,A/cattle/CA/25-001525-001-original/2025,swab,cattle,,2025
PV218758.1,Influenza A virus,A/cattle/CA/24-035016-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV218606.1,Influenza A virus,A/cattle/CA/24-031617-001-original-repeat2/2024,milk,cattle,,2024
PV161580.1,Influenza A virus,A/chicken/CA/24-038444-009-original/2024,Oropharyngeal Swab,chicken,,2024
PV161188.1,Influenza A virus,A/cattle/CA/24-035855-001-original-repeat2/2024,milk,cattle,,2024
PV160684.1,Influenza A virus,A/cattle/CA/24-034023-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV160476.1,Influenza A virus,A/cattle/CA/24-033852-001-original/2024,milk,cattle,,2024
PV160468.1,Influenza A virus,A/cattle/CA/24-033850-001-original/2024,milk,cattle,,2024
PV160452.1,Influenza A virus,A/cattle/CA/24-033522-001-original/2024,milk,cattle,,2024
PV160388.1,Influenza A virus,A/cattle/CA/24-032644-001-original/2024,milk,cattle,,2024
PV160316.1,Influenza A virus,A/cattle/CA/24-031334-001-original/2024,milk,cattle,,2024
PV159756.1,Influenza A virus,A/Rock Pigeon/CA/24-031704-003-original/2024,Cloacal/Oropharyngeal Swab Pool,Rock Pigeon,,2024
PV071618.1,Influenza A virus,A/cattle/CA/24-032639-001-original/2024,milk,cattle,,2024
PV071362.1,Influenza A virus,A/cattle/CA/24-032013-001-original/2024,milk,cattle,,2024
PV071290.1,Influenza A virus,A/cattle/CA/24-031607-002-original/2024,milk,cattle,,2024
PV060422.1,Influenza A virus,A/cattle/CA/24-034653-001-original/2024,milk,cattle,,2024
PV060382.1,Influenza A virus,A/cattle/CA/24-034244-001-original/2024,milk,cattle,,2024
PV060198.1,Influenza A virus,A/cattle/CA/24-029185-001-original/2024,milk,cattle,,2024
PV060182.1,Influenza A virus,A/cattle/CA/24-028986-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ892859.1,Influenza A virus,A/cattle/CA/24-032036-001-original/2024,milk,cattle,,2024
PQ843963.1,Influenza A virus,A/cattle/CA/24-034697-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ843763.1,Influenza A virus,A/cattle/CA/24-030322-001-original/2024,milk,cattle,,2024
PQ843723.1,Influenza A virus,A/cattle/CA/24-029612-001-original/2024,milk,cattle,,2024
PQ843691.1,Influenza A virus,A/cattle/CA/24-029170-001-original-repeat2/2024,milk,cattle,,2024
PQ833378.1,Influenza A virus,A/chicken/CA/24-033698-002-original/2024,Oropharyngeal Swab,chicken,,2024
PQ833354.1,Influenza A virus,A/chicken/CA/24-033692-002-original/2024,Oropharyngeal Swab,chicken,,2024
PQ833290.1,Influenza A virus,A/chicken/CA/24-033225-003-original/2024,swab,chicken,,2024
PQ833274.1,Influenza A virus,A/chicken/CA/24-033225-001-original/2024,swab,chicken,,2024
PQ831738.1,Influenza A virus,A/cattle/CA/24-037218-002-original/2024,milk,cattle,,2024
PQ831682.1,Influenza A virus,A/cattle/CA/24-037209-001-original/2024,milk,cattle,,2024
PQ830962.1,Influenza A virus,A/cattle/CA/24-036640-001-original/2024,milk,cattle,,2024
PQ830338.1,Influenza A virus,A/cattle/CA/24-036542-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ830298.1,Influenza A virus,A/cattle/CA/24-036538-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ830290.1,Influenza A virus,A/cattle/CA/24-036537-003-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ829442.1,Influenza A virus,A/cattle/CA/24-036354-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ829330.1,Influenza A virus,A/cattle/CA/24-033681-002-original/2024,milk,cattle,,2024
PQ829226.1,Influenza A virus,A/cattle/CA/24-031340-005-original/2024,milk,cattle,,2024
PQ829218.1,Influenza A virus,A/cattle/CA/24-031340-004-original/2024,milk,cattle,,2024
PQ829194.1,Influenza A virus,A/cattle/CA/24-031313-004-original/2024,milk,cattle,,2024
PQ829162.1,Influenza A virus,A/cattle/CA/24-031278-001-original/2024,milk,cattle,,2024
PQ829138.1,Influenza A virus,A/cattle/CA/24-031097-001-original/2024,milk,cattle,,2024
PQ829074.1,Influenza A virus,A/cattle/CA/24-030697-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ829066.1,Influenza A virus,A/cattle/CA/24-030031-002-original/2024,milk,cattle,,2024
PP755828.1,Influenza A virus,A/cattle/Texas/24-009110-024/2024,milk,cattle,,2024
PP752684.1,Influenza A virus,A/cattle/Texas/24-009088-001/2024,milk,cattle,,2024
PQ052231.1,Influenza A virus,A/cattle/TX/24-015973-029-original/2024,milk,cattle,,2024
PQ052167.1,Influenza A virus,A/cattle/TX/24-015973-012-original/2024,milk,cattle,,2024
PQ052159.1,Influenza A virus,A/cattle/TX/24-015973-009-original/2024,milk,cattle,,2024
PQ052151.1,Influenza A virus,A/cattle/TX/24-015973-008-original/2024,milk,cattle,,2024
PQ010816.1,Influenza A virus,A/Cattle/Texas/24-009110-009-original/2024,milk,cattle,,2024
PP753132.1,Influenza A virus,A/cattle/Texas/24-009110-022/2024,milk,cattle,,2024
PP752900.1,Influenza A virus,A/cattle/Texas/24-009110-010/2024,milk,cattle,,2024
PP752788.1,Influenza A virus,A/cattle/Texas/24-009110-002/2024,milk,cattle,,2024
PP740729.1,Influenza A virus,A/blackbird/Texas/24-008354-001/2024,Oropharyngeal swab,blackbird,,2024
PQ664126.1,Influenza A virus,A/cattle/NM/24-023930-012-original/2024,milk,cattle,,2024
PQ664110.1,Influenza A virus,A/cattle/NM/24-023930-010-original/2024,milk,cattle,,2024
PQ664102.1,Influenza A virus,A/cattle/NM/24-023930-007-original/2024,milk,cattle,,2024
PQ664062.1,Influenza A virus,A/cattle/NM/24-023930-002-original/2024,milk,cattle,,2024
PQ664054.1,Influenza A virus,A/cattle/NM/24-023930-001-original/2024,milk,cattle,,2024
PQ378316.1,Influenza A virus,A/cattle/CO/24-019381-001-original/2024,milk,cattle,,2024
PQ377860.1,Influenza A virus,A/cattle/CO/24-018028-008-original/2024,milk,cattle,,2024
PQ377828.1,Influenza A virus,A/cattle/CO/24-018028-003-original/2024,milk,cattle,,2024
PQ377820.1,Influenza A virus,A/cattle/CO/24-018028-002-original/2024,milk,cattle,,2024
PQ220909.1,Influenza A virus,A/chicken/NM/24-010947-006-original/2024,tracheal swab,chicken,,2024
PQ220885.1,Influenza A virus,A/chicken/NM/24-010947-001-original/2024,tracheal swab,chicken,,2024
PQ220877.1,Influenza A virus,A/chicken/NM/24-010832-002-original/2024,tracheal swab,chicken,,2024
PQ168073.1,Influenza A virus,A/cattle/CO/24-017153-001-original/2024,milk,cattle,,2024
PQ052335.1,Influenza A virus,A/cattle/TX/24-016337-001-original/2024,milk,cattle,,2024
PQ052287.1,Influenza A virus,A/cattle/TX/24-015975-009-original/2024,milk,cattle,,2024
PQ052279.1,Influenza A virus,A/cattle/TX/24-015975-008-original/2024,milk,cattle,,2024
PQ052247.1,Influenza A virus,A/cattle/TX/24-015975-002-original/2024,milk,cattle,,2024
PQ051143.1,Influenza A virus,A/House Mouse/NM/24-014780-002-original/2024,Oropharyngeal Swab,House Mouse,,2024
PQ011056.1,Influenza A virus,A/Chicken/Idaho/24-013169-002-original/2024,swab,chicken,,2024
PQ010880.1,Influenza A virus,A/Cattle/Idaho/24-009779-005-original/2024,milk,cattle,,2024
PP755596.1,Influenza A virus,A/cattle/Texas/24-008749-003/2024,milk,cattle,,2024
PP755756.1,Influenza A virus,A/cattle/Texas/24-009495-008/2024,milk,cattle,,2024
PP755469.1,Influenza A virus,A/chicken/Texas/24-007264-003/2024,Oropharyngeal swab,chicken,,2024
PP755461.1,Influenza A virus,A/chicken/Texas/24-007264-001/2024,Oropharyngeal swab,chicken,,2024
PP753716.1,Influenza A virus,A/cattle/New Mexico/24-010193-007/2024,milk,cattle,,2024
PP753660.1,Influenza A virus,A/chicken/Texas/24-009654-001/2024,Oropharyngeal swab,chicken,,2024
PP753700.1,Influenza A virus,A/cattle/New Mexico/24-010193-003/2024,milk,cattle,,2024
PP753500.1,Influenza A virus,A/cattle/Texas/24-009776-001/2024,milk,cattle,,2024
PP753380.1,Influenza A virus,A/cattle/Texas/24-010331-001/2024,milk,cattle,,2024
PP753180.1,Influenza A virus,A/cattle/Texas/24-010513-006/2024,milk,cattle,,2024
PP753108.1,Influenza A virus,A/cattle/Texas/24-009110-019/2024,milk,cattle,,2024
PP753084.1,Influenza A virus,A/cattle/Kansas/24-009497-010/2024,milk,cattle,,2024
PP753028.1,Influenza A virus,A/domestic cat/New Mexico/24-009116-004/2024,brain tissue,Domestic cat,,2024
PP752892.1,Influenza A virus,A/cattle/Texas/24-009110-008/2024,milk,cattle,,2024
PP752828.1,Influenza A virus,A/cattle/Texas/24-009108-004/2024,milk,cattle,,2024
PP752732.1,Influenza A virus,A/cattle/Texas/24-009028-007/2024,milk,cattle,,2024
PP752724.1,Influenza A virus,A/cattle/Texas/24-009028-005/2024,milk,cattle,,2024
PP752676.1,Influenza A virus,A/cattle/Texas/24-009087-001/2024,milk,cattle,,2024
PP752668.1,Influenza A virus,A/cattle/Texas/24-009029-001/2024,Mammary tissue,cattle,,2024
PP752660.1,Influenza A virus,A/cattle/Texas/24-009028-019/2024,milk,cattle,,2024
PP752631.1,Influenza A virus,A/domestic cat/Texas/24-008850-001/2024,brain tissue,Domestic cat,,2024
PP752607.1,Influenza A virus,A/cattle/Kansas/24-008767-001/2024,milk,cattle,,2024
PP737536.1,Influenza A virus,A/bovine/Ohio/B24OSU-UW11-863/2024,Udder wipe,bovine,,2024
PV459253.1,Influenza A virus,A/Dairy cow/ID/W241140067-9/2024,milk,dairy cow,,2024
PV643505.1,Influenza A virus,A/dairy cow/Ohio/OH24-10989-54/2024,urine,Bos taurus,,2024
PV643497.1,Influenza A virus,A/dairy cow/Ohio/OH24-10341-3/2024,urine,Bos taurus,,2024
PV459261.1,Influenza A virus,A/Dairy cow/ID/W241290019-19-P/2024,milk,dairy cow,,2024
PV132397.1,Influenza A virus,A/Bos taurus/Kansas/SM-3/2024,milk,Bos taurus,,2024
PQ667595.1,Influenza A virus,A/cattle/MI/24-015041-001-original/2024,milk,cattle,,2024
PQ667563.1,Influenza A virus,A/cattle/MI/24-014287-001-original/2024,milk,cattle,,2024
PQ667099.1,Influenza A virus,A/Raccoon/MI/24-012313-002-original/2024,nasal swab,Raccoon,,2024
PQ664158.1,Influenza A virus,A/cattle/TX/24-017473-001-original/2024,milk,cattle,,2024
PQ664142.1,Influenza A virus,A/cattle/NM/24-028969-013-original/2024,milk,cattle,,2024
PQ482190.1,Influenza A virus,A/cattle/MI/24-013999-005-original/2024,milk,cattle,,2024
PQ482166.1,Influenza A virus,A/cattle/MI/24-013172-002-original/2024,milk,cattle,,2024
PQ423503.1,Influenza A virus,A/cattle/MN/24-017653-008-original/2024,milk,cattle,,2024
PQ423471.1,Influenza A virus,A/cattle/MI/24-015457-004-original/2024,milk,cattle,,2024
PQ423447.1,Influenza A virus,A/cattle/MI/24-015457-001-original/2024,milk,cattle,,2024
PQ288112.1,Influenza A virus,A/cattle/MI/24-013395-002-original/2024,milk,cattle,,2024
PQ274803.1,Influenza A virus,A/cattle/MI/24-014883-006-original/2024,milk,cattle,,2024
PQ220717.1,Influenza A virus,A/cattle/MI/24-010661-008-original/2024,milk,cattle,,2024
PQ220693.1,Influenza A virus,A/cattle/MI/24-010661-004-original/2024,milk,cattle,,2024
PQ220661.1,Influenza A virus,A/cat/MI/24-011518-002-original-repeat/2024,brain,cat,,2024
PQ168153.1,Influenza A virus,A/cattle/MI/24-011231-004-original/2024,milk,cattle,,2024
PQ168041.1,Influenza A virus,A/Turkey/MN/24-018646-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ135202.1,Influenza A virus,A/Turkey/MI/24-011958-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ052727.1,Influenza A virus,A/chicken/MI/24-011062-010-original/2024,Oropharyngeal Swab,chicken,,2024
PQ052719.1,Influenza A virus,A/chicken/MI/24-010651-001-original/2024,Oropharyngeal Swab,chicken,,2024
PQ051903.1,Influenza A virus,A/cattle/ID/24-015978-003-original/2024,milk,cattle,,2024
PQ051743.1,Influenza A virus,A/cattle/ID/24-015196-002-original/2024,milk,cattle,,2024
PQ051343.1,Influenza A virus,A/cattle/ID/24-013710-001-original/2024,milk,cattle,,2024
PQ051319.1,Influenza A virus,A/Turkey/MN/24-015842-002-original/2024,Oropharyngeal Swab,turkey,,2024
PQ051263.1,Influenza A virus,A/Turkey/MI/24-013788-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ051255.1,Influenza A virus,A/Turkey/MI/24-012167-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ068395.1,Influenza A virus,A/bovine/New Mexico/A240920343-99/2024,milk,dairy cow,,2024
PQ075926.1,Influenza A virus,A/dairy cow/Kansas/SM-3/2024,milk,dairy cow,,2024
PQ809562.1,Influenza A virus,A/Louisiana/12/2024 Original,,Homo sapiens,,2024
PQ809556.1,Influenza A virus,A/Louisiana/12/2024 OR_IR,,Homo sapiens,,2024
PQ615362.1,Influenza A virus,A/Washington/255/2024,,Homo sapiens,,2024
PV267477.1,Influenza A virus,A/blue-winged teal/Louisiana/LA24-1082/2024,CL/OP swab,blue-winged teal,,2024
PV267429.1,Influenza A virus,A/Ross's goose/Kansas/W24-1015/2024,CL/OP swab,Ross's goose,,2024
PV267413.1,Influenza A virus,A/American black duck/Tennessee/141/2024,CL/OP swab,American black duck,,2024
PQ585622.1,Influenza A virus,A/Washington/UW63494/2024,swab,Homo sapiens,,2024
PQ573561.1,Influenza A virus,A/Washington/240/2024,,Homo sapiens,,2024
PV602277.1,Influenza A virus,A/northern pintail/USA/IZ24_0763/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV267733.1,Influenza A virus,A/wood duck/Tennessee/79/2024,CL/OP swab,wood duck,,2024
PV602253.1,Influenza A virus,A/northern pintail/USA/IZ24_0684/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602221.1,Influenza A virus,A/northern pintail/USA/IZ24_0566/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV267629.1,Influenza A virus,A/snow goose/Kansas/W24-1007B/2024,CL/OP swab,snow goose,,2024
PV267621.1,Influenza A virus,A/snow goose/Arkansas/AR24-105/2024,brain swab,snow goose,,2024
PV267597.1,Influenza A virus,A/ring-necked duck/Texas/UGAI24-2984/2024,CL/OP swab,ring-necked duck,,2024
PV602309.1,Influenza A virus,A/northern pintail/USA/IZ24_0866/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602285.1,Influenza A virus,A/northern pintail/USA/IZ24_0772/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602261.1,Influenza A virus,A/northern pintail/USA/IZ24_0689/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602213.1,Influenza A virus,A/northern pintail/USA/IZ24_0555/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602157.1,Influenza A virus,A/American green-winged teal/USA/IZ24_0777/2024,oropharyngeal/cloacal swab,American green-winged teal,,2024
PV602149.1,Influenza A virus,A/American green-winged teal/USA/IZ24_0776/2024,oropharyngeal/cloacal swab,American green-winged teal,,2024
PV267725.1,Influenza A virus,A/wood duck/Kansas/W24-1068B/2024,CL/OP swab,wood duck,,2024
PV267677.1,Influenza A virus,A/snow goose/Kentucky/W24-1065/2024,CL/OP swab,snow goose,,2024
PV267669.1,Influenza A virus,A/snow goose/Kentucky/W24-1021D/2024,CL/OP swab,snow goose,,2024
PV267661.1,Influenza A virus,A/snow goose/Kentucky/W24-1021B/2024,CL/OP swab,snow goose,,2024
PV267637.1,Influenza A virus,A/snow goose/Kansas/W24-1007D/2024,CL/OP swab,snow goose,,2024
PV267605.1,Influenza A virus,A/snow goose/Arkansas/AR24-102/2024,brain swab,snow goose,,2024
PV267573.1,Influenza A virus,A/red-shouldered hawk/Louisiana/W24-1057/2024,CL/OP swab,red-shouldered hawk,,2024
PV267533.1,Influenza A virus,A/green-winged teal/Texas/UGAI24-3048/2024,CL/OP swab,green-winged teal,,2024
PV267501.1,Influenza A virus,A/cackling goose/Kansas/W24-1020A/2024,brain,cackling goose,,2024
PV267445.1,Influenza A virus,A/Ross's goose/Louisiana/W24-1056/2024,CL/OP swab,Ross's goose,,2024
PQ885591.1,Influenza A virus,A/Iowa/124/2024,,Homo sapiens,,2024
PV602245.1,Influenza A virus,A/northern pintail/USA/IZ24_0683/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602173.1,Influenza A virus,A/mallard/USA/IZ24_0675/2024,oropharyngeal/cloacal swab,mallard,,2024
PV267701.1,Influenza A virus,A/snow goose/Louisiana/W24-1087OR/2024,CL/OP swab,snow goose,,2024
PV267693.1,Influenza A virus,A/snow goose/Louisiana/W24-1010A/2024,CL/OP swab,snow goose,,2024
PV267557.1,Influenza A virus,A/northern pintail/Tennessee/158/2024,CL/OP swab,northern pintail,,2024
PV267493.1,Influenza A virus,A/cackling goose/Kansas/W24-1006/2024,brain swab,cackling goose,,2024
PV267485.1,Influenza A virus,A/bobcat/Kansas/W24-1062/2024,brain swab,bobcat,,2024
PV267469.1,Influenza A virus,A/bald eagle/Georgia/W24-1067/2024,CL/OP swab,bald eagle,,2024
PV267437.1,Influenza A virus,A/Ross's goose/Kansas/W24-1031E/2024,brain,Ross's goose,,2024
PV483728.1,Influenza A virus,A/Unknown/Durango/CPA-00563-25/2025,"Cloacal swab tracheal swab, trachea and allantoic fluid",unknown,,2025
PV483720.1,Influenza A virus,A/Ostrich/Sonora/CPA-00009-25/2025,"Cloacal swab, spleen, lung, and allantoic fluid",Ostrich,,2025
PV267685.1,Influenza A virus,A/snow goose/Kentucky/W24-1066/2024,CL/OP swab,snow goose,,2024
PV267653.1,Influenza A virus,A/snow goose/Kansas/W24-1051B/2024,CL/OP swab,snow goose,,2024
PV267525.1,Influenza A virus,A/green-winged teal/Texas/UGAI24-2961/2024,CL/OP swab,green-winged teal,,2024
PV267453.1,Influenza A virus,A/bald eagle/Georgia/W24-1050A/2024,CL/OP swab,bald eagle,,2024
PV267421.1,Influenza A virus,A/Canada goose/Kansas/W24-962/2024,CL/OP swab,Canada goose,,2024
PV267645.1,Influenza A virus,A/snow goose/Kansas/W24-1014/2024,brain,snow goose,,2024
PV267565.1,Influenza A virus,A/red-breasted merganser/Kansas/W24-1031A/2024,brain,red-breasted merganser,,2024
PV483736.1,Influenza A virus,A/goose/Durango/CPA-00444-25/2025,"Cloacal swab, tracheal swab, spleen, lung, trachea, cecal tonsil and allantoic fluid",goose,,2025
PV267517.1,Influenza A virus,A/green-winged teal/Kentucky/W24-1039A/2024,brain swab,green-winged teal,,2024
PV113343.1,Influenza A virus,A/Nevada/10/2025,,Homo sapiens,,2025
PV344194.1,Influenza A virus,A/Ohio/06-1/2025,,Homo sapiens,,2025
PV267461.1,Influenza A virus,A/bald eagle/Georgia/W24-1050B/2024,CL/OP swab,bald eagle,,2024
PQ859346.1,Influenza A virus,A/chicken/LA/24-037801-001-original/2024,swab,chicken,,2024
PQ859354.1,Influenza A virus,A/chicken/LA/24-037801-002-original/2024,swab,chicken,,2024
PV060094.1,Influenza A virus,A/Turkey/SD/24-036598-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ664446.1,Influenza A virus,A/chicken/WA/24-030039-002/2024,Oropharyngeal Swab,chicken,,2024
PQ585630.1,Influenza A virus,A/Washington/UW32495/2024,swab,Homo sapiens,,2024
PQ844107.1,Influenza A virus,A/chicken/SD/24-033963-001-original/2024,cloacal swab,chicken,,2024
PQ798038.1,Influenza A virus,A/chicken/WA/24-032809-001-original/2024,cloacal swab,chicken,,2024
PQ797998.1,Influenza A virus,A/chicken/WA/24-032191-001-original/2024,Oropharyngeal Swab,chicken,,2024
PQ797966.1,Influenza A virus,A/chicken/MT/24-032160-001-original/2024,cloacal swab,chicken,,2024
PQ664438.1,Influenza A virus,A/chicken/WA/24-030039-001/2024,Oropharyngeal Swab,chicken,,2024
PV602262.1,Influenza A virus,A/northern pintail/USA/IZ24_0760/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV336225.1,Influenza A virus,A/American Crow/IA/25-002028-001-original/2025,Oropharyngeal Swab,American Crow,,2025
PV162268.1,Influenza A virus,A/chicken/PR/25-000491-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV070754.1,Influenza A virus,A/Guineafowl/NE/24-037518-003-original/2024,cloacal swab,Guineafowl,,2024
PV060494.1,Influenza A virus,A/chicken/CO/24-036613-001-original/2024,tracheal swab,chicken,,2024
PQ892587.1,Influenza A virus,A/Tiger/ID/24-035868-001-original/2024,oral swab,Tiger,,2024
PQ844131.1,Influenza A virus,A/goose/WA/24-033829-001-original/2024,Cloacal/Oropharyngeal Swab Pool,goose,,2024
PQ798070.1,Influenza A virus,A/goose/OR/24-032167-002-original/2024,cloacal swab,goose,,2024
PQ664454.1,Influenza A virus,A/chicken/WA/24-031352-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV395696.1,Influenza A virus,A/Duck/PA/25-004290-001-original/2025,cloacal swab,duck,,2025
PV337713.1,Influenza A virus,A/Red-tailed Hawk/WY/25-002204-001-original/2025,Cloacal/Tracheal Swab Pool,Red-tailed Hawk,,2025
PV337137.1,Influenza A virus,A/Mallard/MI/25-003379-002-original/2025,Cloacal/Oropharyngeal Swab Pool,Mallard,,2025
PV336609.1,Influenza A virus,A/Canada Goose/UT/25-002900-001-original/2025,cloacal swab,Canada Goose,,2025
PV336601.1,Influenza A virus,A/Canada Goose/TN/25-003129-001-original/2025,Cloacal/Oropharyngeal Swab Pool,Canada Goose,,2025
PV336337.1,Influenza A virus,A/Black-crowned Night-Heron/CA/25-003270-001-original/2025,cloacal swab,Black-crowned Night-Heron,,2025
PV218318.1,Influenza A virus,A/Great Horned Owl/IA/25-000440-001-original/2025,Oropharyngeal Swab,Great Horned Owl,,2025
PV162028.1,Influenza A virus,A/chicken/ID/25-000539-001-original/2025,Oropharyngeal Swab,chicken,,2025
PV162004.1,Influenza A virus,A/chicken/ID/25-000072-001-original/2024,Oropharyngeal Swab,chicken,,2024
