Accession,Character,Source
EPI3260595,6,Artiodactyla
EPI2468388,8,Carnivora
EPI2921527,M,mammal
EPI3412340,6,Artiodactyla
EPI3007156,4,Aves
EPI2759027,4,Aves
EPI2029067,4,Aves
EPI3314354,4,Aves
EPI2597236,4,Aves
EPI2906650,5,Charadriiformes
EPI2557436,4,Aves
EPI2760836,4,Aves
EPI3314058,4,Aves
EPI2381009,4,Aves
EPI3581817,2,Anseriformes
EPI2702610,2,Anseriformes
EPI2904405,4,Aves
EPI3411994,6,Artiodactyla
EPI2704140,4,Aves
EPI2198732,2,Anseriformes
EPI2277897,A,Galliformes
EPI2579775,H,Falconiformes
EPI1930027,2,Anseriformes
EPI3571278,6,Artiodactyla
EPI2220250,A,Galliformes
EPI2530071,4,Aves
EPI2071144,2,Anseriformes
EPI3115761,4,Aves
EPI3062883,2,Anseriformes
EPI3648671,6,Artiodactyla
EPI3609400,H,Falconiformes
EPI3183448,A,Galliformes
EPI1944485,2,Anseriformes
EPI2742803,4,Aves
EPI2188323,0,Accipitriformes
EPI3308672,4,Aves
EPI2277977,A,Galliformes
EPI2639304,4,Aves
EPI2246859,A,Galliformes
EPI2745884,5,Charadriiformes
EPI2428920,4,Aves
EPI2428987,4,Aves
EPI2428873,4,Aves
EPI2861352,A,Galliformes
EPI2664950,5,Charadriiformes
EPI2763983,5,Charadriiformes
EPI2537092,5,Charadriiformes
EPI2292992,4,Aves
EPI2639859,4,Aves
EPI3316527,4,Aves
EPI3313658,4,Aves
EPI2232666,2,Anseriformes
EPI3072478,2,Anseriformes
EPI3527177,4,Aves
EPI2219619,Q,Sphenisciformes
EPI2082862,2,Anseriformes
EPI2906326,4,Aves
EPI2278097,4,Aves
EPI2885257,A,Galliformes
EPI2573933,4,Aves
EPI2784267,4,Aves
EPI2506156,A,Galliformes
EPI3312890,4,Aves
EPI2179564,4,Aves
EPI3179897,4,Aves
EPI2788390,4,Aves
EPI3625442,6,Artiodactyla
EPI443071,A,Galliformes
EPI2820725,2,Anseriformes
EPI2247244,2,Anseriformes
EPI2055240,4,Aves
EPI1859945,M,mammal
EPI3236482,2,Anseriformes
EPI2278249,4,Aves
EPI3312850,M,mammal
EPI2856789,4,Aves
EPI2998341,2,Anseriformes
EPI2197817,4,Aves
EPI2608697,4,Aves
EPI3631351,4,Aves
EPI2035121,4,Aves
EPI2614414,4,Aves
EPI2707982,0,Accipitriformes
EPI2608187,5,Charadriiformes
EPI1980876,9,Suliformes
EPI3308640,4,Aves
EPI3412388,6,Artiodactyla
EPI2712563,4,Aves
EPI2893419,4,Aves
EPI3137403,A,Galliformes
EPI2671479,5,Charadriiformes
EPI3625334,6,Artiodactyla
EPI2070054,2,Anseriformes
EPI3559771,2,Anseriformes
EPI3298732,4,Aves
EPI3309088,4,Aves
EPI2742411,4,Aves
EPI3308616,4,Aves
EPI3236474,2,Anseriformes
EPI2506132,A,Galliformes
EPI2861384,2,Anseriformes
EPI2635222,5,Charadriiformes
EPI2029874,2,Anseriformes
EPI3093215,2,Anseriformes
EPI2198220,A,Galliformes
EPI2856203,M,mammal
EPI3649691,A,Galliformes
EPI2023618,2,Anseriformes
EPI1946086,A,Galliformes
EPI2856103,M,mammal
EPI1958449,0,Accipitriformes
EPI3410604,A,Galliformes
EPI3052757,4,Aves
EPI2759083,4,Aves
EPI2709194,4,Aves
EPI3317068,6,Artiodactyla
EPI3314744,4,Aves
EPI2710584,2,Anseriformes
EPI2306597,A,Galliformes
EPI2665261,4,Aves
EPI3604695,4,Aves
EPI2240710,4,Aves
EPI2704863,2,Anseriformes
EPI3041383,4,Aves
EPI3528394,4,Aves
EPI1966009,A,Galliformes
EPI2780514,4,Aves
EPI3324019,5,Charadriiformes
EPI1812383,G,Scolopacidae
EPI2306717,A,Galliformes
EPI3041057,4,Aves
EPI3115337,5,Charadriiformes
EPI2296197,8,Carnivora
EPI3605163,4,Aves
EPI2428539,4,Aves
EPI2856693,4,Aves
EPI3041042,4,Aves
EPI3409441,8,Carnivora
EPI2745212,M,mammal
EPI3358365,4,Aves
EPI2895439,4,Aves
EPI2794475,A,Galliformes
EPI2708257,4,Aves
EPI2789006,4,Aves
EPI3555275,4,Aves
EPI3305472,4,Aves
EPI2704804,2,Anseriformes
EPI2397432,2,Anseriformes
EPI3315720,4,Aves
EPI2312568,A,Galliformes
EPI2576510,5,Charadriiformes
EPI2181491,2,Anseriformes
EPI2507035,4,Aves
EPI2428858,4,Aves
EPI2788574,4,Aves
EPI2128854,4,Aves
EPI2744838,4,Aves
EPI3610171,J,Primates
EPI3260180,M,mammal
EPI2437560,M,mammal
EPI2497153,2,Anseriformes
EPI3308928,4,Aves
EPI2944643,5,Charadriiformes
EPI2648235,5,Charadriiformes
EPI3526801,4,Aves
EPI2708857,0,Accipitriformes
EPI2885549,A,Galliformes
EPI2751212,A,Galliformes
EPI2856234,4,Aves
EPI2913216,4,Aves
EPI3630608,6,Artiodactyla
EPI2306589,A,Galliformes
EPI2475123,4,Aves
EPI3305664,4,Aves
EPI2613638,4,Aves
EPI2666972,4,Aves
EPI2780522,4,Aves
EPI3604711,4,Aves
EPI2475215,4,Aves
EPI3298740,4,Aves
EPI2609482,A,Galliformes
EPI3452199,J,Primates
EPI108053,2,Anseriformes
EPI3316575,4,Aves
EPI2202328,0,Accipitriformes
EPI3409887,8,Carnivora
EPI2691640,4,Aves
EPI2428409,4,Aves
EPI2743043,4,Aves
EPI2156461,A,Galliformes
EPI1965229,M,mammal
EPI2072240,2,Anseriformes
EPI2278001,4,Aves
EPI2751452,A,Galliformes
EPI2841882,F,Environment
EPI2559528,A,Galliformes
EPI3604264,6,Artiodactyla
EPI2223226,H,Falconiformes
EPI2510345,4,Aves
EPI1579597,A,Galliformes
EPI3314442,4,Aves
EPI2415353,5,Charadriiformes
EPI1963857,A,Galliformes
EPI2648248,5,Charadriiformes
EPI2513415,M,mammal
EPI2071304,A,Galliformes
EPI3604073,6,Artiodactyla
EPI2464394,2,Anseriformes
EPI3584195,6,Artiodactyla
EPI2792299,5,Charadriiformes
EPI2078354,5,Charadriiformes
EPI2873481,4,Aves
EPI3487582,6,Artiodactyla
EPI2701775,M,mammal
EPI2351908,4,Aves
EPI1987674,4,Aves
EPI2510821,5,Charadriiformes
EPI1994523,2,Anseriformes
EPI2397448,4,Aves
EPI2752072,A,Galliformes
EPI2764350,5,Charadriiformes
EPI3651286,A,Galliformes
EPI1863045,2,Anseriformes
EPI2264051,4,Aves
EPI2176400,0,Accipitriformes
EPI2178124,9,Suliformes
EPI3543942,4,Aves
EPI1950487,A,Galliformes
EPI2132851,2,Anseriformes
EPI2780450,4,Aves
EPI2263594,4,Aves
EPI2856470,4,Aves
EPI2181651,2,Anseriformes
EPI3310332,4,Aves
EPI2648203,A,Galliformes
EPI2648222,5,Charadriiformes
EPI3323770,4,Aves
EPI2198748,2,Anseriformes
EPI2648217,5,Charadriiformes
EPI3451432,2,Anseriformes
EPI3050216,2,Anseriformes
EPI3052902,4,Aves
EPI3250273,4,Aves
EPI3395180,4,Aves
EPI2603412,4,Aves
EPI2437002,Q,Sphenisciformes
EPI3143540,4,Aves
EPI2311551,4,Aves
EPI2709725,4,Aves
EPI2512858,4,Aves
EPI2703256,2,Anseriformes
EPI2278233,4,Aves
EPI3309448,4,Aves
EPI2780562,4,Aves
EPI1957977,A,Galliformes
EPI2586333,4,Aves
EPI2076349,2,Anseriformes
EPI2955933,4,Aves
EPI3093271,H,Falconiformes
EPI2855816,4,Aves
EPI2648230,5,Charadriiformes
EPI1999361,A,Galliformes
EPI2792766,0,Accipitriformes
EPI2277969,4,Aves
EPI3508769,6,Artiodactyla
EPI2635282,4,Aves
EPI2751748,A,Galliformes
EPI2703144,2,Anseriformes
EPI3315983,4,Aves
EPI2198484,A,Galliformes
EPI2855932,4,Aves
EPI2856859,4,Aves
EPI3487779,6,Artiodactyla
EPI2028983,5,Charadriiformes
EPI2702514,2,Anseriformes
EPI2487058,4,Aves
EPI3418464,A,Galliformes
EPI1927101,2,Anseriformes
EPI2603448,4,Aves
EPI2158704,2,Anseriformes
EPI2867927,4,Aves
EPI3317028,4,Aves
EPI2456447,?,Galliformes
EPI2131312,A,Galliformes
EPI2855981,4,Aves
EPI2856355,4,Aves
EPI2416982,5,Charadriiformes
EPI2246384,A,Galliformes
EPI3395220,4,Aves
EPI3418274,6,Artiodactyla
EPI2751596,A,Galliformes
EPI3226827,2,Anseriformes
EPI2576606,2,Anseriformes
EPI3314314,4,Aves
EPI3418725,6,Artiodactyla
EPI2162141,2,Anseriformes
EPI2597196,A,Galliformes
EPI2429232,4,Aves
EPI2089022,A,Galliformes
EPI2300754,2,Anseriformes
EPI3041249,4,Aves
EPI3277811,4,Aves
EPI2008085,4,Aves
EPI2437342,A,Galliformes
EPI3526877,4,Aves
EPI2505063,4,Aves
EPI3017767,2,Anseriformes
EPI2609367,A,Galliformes
EPI2236704,M,mammal
EPI2613822,4,Aves
EPI1930067,2,Anseriformes
EPI2957024,2,Anseriformes
EPI2870170,4,Aves
EPI2018060,M,mammal
EPI2363689,A,Galliformes
EPI2198324,A,Galliformes
EPI2428523,4,Aves
EPI3574841,6,Artiodactyla
EPI2176447,0,Accipitriformes
EPI2191417,4,Aves
EPI2141121,A,Galliformes
EPI3320981,4,Aves
EPI2559839,5,Charadriiformes
EPI2710955,2,Anseriformes
EPI3649032,6,Artiodactyla
EPI2700546,4,Aves
EPI3609495,4,Aves
EPI2363475,A,Galliformes
EPI3307071,4,Aves
EPI2420039,4,Aves
EPI2428288,4,Aves
EPI2649368,A,Galliformes
EPI2664926,5,Charadriiformes
EPI2589275,2,Anseriformes
EPI3604719,4,Aves
EPI2589822,2,Anseriformes
EPI2782188,5,Charadriiformes
EPI2428756,4,Aves
EPI3222154,2,Anseriformes
EPI2075674,4,Aves
EPI3306393,4,Aves
EPI2764326,2,Anseriformes
EPI2232858,A,Galliformes
EPI3350816,0,Accipitriformes
EPI2233026,A,Galliformes
EPI2291564,4,Aves
EPI2140332,A,Galliformes
EPI3304344,4,Aves
EPI3411134,6,Artiodactyla
EPI2506536,A,Galliformes
EPI3316255,4,Aves
EPI2428952,4,Aves
EPI2913279,A,Galliformes
EPI2278201,4,Aves
EPI2764334,5,Charadriiformes
EPI2856036,4,Aves
EPI3311234,4,Aves
EPI2789398,F,Environment
EPI2933000,2,Anseriformes
EPI2856327,4,Aves
EPI3408851,6,Artiodactyla
EPI2606338,A,Galliformes
EPI2904397,4,Aves
EPI2473522,M,mammal
EPI2697448,8,Carnivora
EPI1958565,J,Primates
EPI2855933,4,Aves
EPI2820677,4,Aves
EPI2639779,4,Aves
EPI2702461,2,Anseriformes
EPI3488363,5,Charadriiformes
EPI2232794,A,Galliformes
EPI3316311,4,Aves
EPI2708636,4,Aves
EPI2610769,2,Anseriformes
EPI2232658,A,Galliformes
EPI2129832,M,mammal
EPI2537060,5,Charadriiformes
EPI2311415,9,Suliformes
EPI2930921,2,Anseriformes
EPI2363657,A,Galliformes
EPI2666770,4,Aves
EPI2197833,4,Aves
EPI3298380,4,Aves
EPI2744846,2,Anseriformes
EPI1988861,0,Accipitriformes
EPI2648238,5,Charadriiformes
EPI2415839,2,Anseriformes
EPI2277929,A,Galliformes
EPI3308832,4,Aves
EPI3584530,5,Charadriiformes
EPI3115081,4,Aves
EPI1985918,2,Anseriformes
EPI3323385,0,Accipitriformes
EPI2035097,4,Aves
EPI3303802,4,Aves
EPI2540512,4,Aves
EPI3442247,A,Galliformes
EPI2428451,4,Aves
EPI2222976,2,Anseriformes
EPI2705356,2,Anseriformes
EPI2009500,2,Anseriformes
EPI2263690,4,Aves
EPI2232802,A,Galliformes
EPI2131325,A,Galliformes
EPI2495693,4,Aves
EPI2232682,A,Galliformes
EPI2855872,4,Aves
EPI1945461,4,Aves
EPI1958025,A,Galliformes
EPI2921516,M,mammal
EPI2957007,4,Aves
EPI2414952,4,Aves
EPI2570414,5,Charadriiformes
EPI2614086,4,Aves
EPI3591004,5,Charadriiformes
EPI2626148,4,Aves
EPI1994426,2,Anseriformes
EPI2088918,4,Aves
EPI2666935,4,Aves
EPI2770983,3,Animal
EPI3484660,4,Aves
EPI3410827,8,Carnivora
EPI2855964,4,Aves
EPI3484608,4,Aves
EPI2886175,D,Corvidae
EPI593036,F,Environment
EPI3364260,4,Aves
EPI3409237,6,Artiodactyla
EPI2510248,5,Charadriiformes
EPI2461833,4,Aves
EPI3409919,8,Carnivora
EPI3304776,4,Aves
EPI1930835,A,Galliformes
EPI2139520,4,Aves
EPI2580761,J,Primates
EPI2506338,A,Galliformes
EPI3605161,4,Aves
EPI1958457,M,mammal
EPI2305281,2,Anseriformes
EPI2665347,4,Aves
EPI2129840,A,Galliformes
EPI3280294,4,Aves
EPI3377248,A,Galliformes
EPI3311706,4,Aves
EPI2609103,4,Aves
EPI2246168,4,Aves
EPI2648194,A,Galliformes
EPI1945522,4,Aves
EPI3183464,2,Anseriformes
EPI2899638,4,Aves
EPI3303904,4,Aves
EPI3319275,4,Aves
EPI2437539,2,Anseriformes
EPI2528169,4,Aves
EPI3323813,2,Anseriformes
EPI2856122,4,Aves
EPI2185392,4,Aves
EPI2362660,4,Aves
EPI2703027,2,Anseriformes
EPI3261787,6,Artiodactyla
EPI3298604,4,Aves
EPI2437468,M,mammal
EPI2254379,2,Anseriformes
EPI3298620,4,Aves
EPI2067307,4,Aves
EPI2603840,4,Aves
EPI3306457,4,Aves
EPI2088926,4,Aves
EPI2097278,4,Aves
EPI1980924,0,Accipitriformes
EPI2708313,0,Accipitriformes
EPI3487590,6,Artiodactyla
EPI2856974,4,Aves
EPI2574053,4,Aves
EPI2697642,8,Carnivora
EPI2639795,4,Aves
EPI3310804,4,Aves
EPI2691245,4,Aves
EPI3626002,4,Aves
EPI2352601,A,Galliformes
EPI2075690,4,Aves
EPI2742531,4,Aves
EPI3648927,6,Artiodactyla
EPI2545140,4,Aves
EPI2608689,4,Aves
EPI2886297,D,Corvidae
EPI2751876,A,Galliformes
EPI2607404,M,mammal
EPI2179596,4,Aves
EPI2780546,4,Aves
EPI3085041,2,Anseriformes
EPI2428994,4,Aves
EPI2895287,4,Aves
EPI1928788,2,Anseriformes
EPI3630030,J,Primates
EPI3222832,2,Anseriformes
EPI3297844,A,Galliformes
EPI1944199,A,Galliformes
EPI2884800,A,Galliformes
EPI2208895,A,Galliformes
EPI2050776,4,Aves
EPI2009524,2,Anseriformes
EPI2257909,M,mammal
EPI2540332,M,mammal
EPI2050341,4,Aves
EPI2132867,2,Anseriformes
EPI2181336,A,Galliformes
EPI2578028,5,Charadriiformes
EPI3488211,4,Aves
EPI2638926,4,Aves
EPI2771039,3,Animal
EPI2074540,4,Aves
EPI3616676,A,Galliformes
EPI2640912,4,Aves
EPI2029326,4,Aves
EPI2049841,A,Galliformes
EPI2622969,4,Aves
EPI2609588,4,Aves
EPI2702574,2,Anseriformes
EPI2545108,4,Aves
EPI2855808,4,Aves
EPI338786,2,Anseriformes
EPI2428090,4,Aves
EPI2023626,2,Anseriformes
EPI2708171,0,Accipitriformes
EPI2162139,?,Galliformes
EPI3307213,4,Aves
EPI2703338,4,Aves
EPI3351086,4,Aves
EPI3395347,2,Anseriformes
EPI2649369,A,Galliformes
EPI2122980,2,Anseriformes
EPI2702779,2,Anseriformes
EPI3462754,6,Artiodactyla
EPI2150624,M,mammal
EPI2300708,4,Aves
EPI1966954,4,Aves
EPI1942186,A,Galliformes
EPI2198596,A,Galliformes
EPI2856466,4,Aves
EPI3391465,4,Aves
EPI2665245,4,Aves
EPI2198380,A,Galliformes
EPI2614518,4,Aves
EPI2764200,5,Charadriiformes
EPI2603357,4,Aves
EPI2703696,2,Anseriformes
EPI2506860,4,Aves
EPI3308856,4,Aves
EPI2603420,4,Aves
EPI3040938,4,Aves
EPI2074684,4,Aves
EPI2587272,4,Aves
EPI3311930,4,Aves
EPI2278169,4,Aves
EPI3352867,6,Artiodactyla
EPI3391908,4,Aves
EPI2510321,4,Aves
EPI2053881,M,mammal
EPI3305640,4,Aves
EPI2013981,4,Aves
EPI2259415,4,Aves
EPI3409537,6,Artiodactyla
EPI3313450,4,Aves
EPI2363229,4,Aves
EPI2207117,A,Galliformes
EPI2530047,4,Aves
EPI2260622,4,Aves
EPI2587280,4,Aves
EPI3093183,A,Galliformes
EPI2743203,4,Aves
EPI2689489,2,Anseriformes
EPI2232762,A,Galliformes
EPI2471936,M,mammal
EPI3487697,6,Artiodactyla
EPI2277905,4,Aves
EPI2181352,A,Galliformes
EPI3313642,M,mammal
EPI2219583,A,Galliformes
EPI2608564,8,Carnivora
EPI2134206,4,Aves
EPI1980460,2,Anseriformes
EPI2185407,4,Aves
EPI2788430,4,Aves
EPI1998114,4,Aves
EPI3261811,6,Artiodactyla
EPI3605339,4,Aves
EPI2697424,8,Carnivora
EPI2536948,A,Galliformes
EPI3183432,A,Galliformes
EPI2053865,M,mammal
EPI1963320,A,Galliformes
EPI2606351,2,Anseriformes
EPI1929987,2,Anseriformes
EPI3276870,5,Charadriiformes
EPI2747730,A,Galliformes
EPI3139865,A,Galliformes
EPI2129886,2,Anseriformes
EPI2780386,4,Aves
EPI2759099,M,mammal
EPI2957686,4,Aves
EPI2223249,4,Aves
EPI2259335,4,Aves
EPI3609392,4,Aves
EPI2428618,4,Aves
EPI2236752,M,mammal
EPI2197825,4,Aves
EPI2100215,4,Aves
EPI2867876,4,Aves
EPI2156429,A,Galliformes
EPI2536742,A,Galliformes
EPI2232882,A,Galliformes
EPI1962105,4,Aves
EPI2473508,M,mammal
EPI3462617,6,Artiodactyla
EPI2198108,A,Galliformes
EPI2701767,M,mammal
EPI2613590,4,Aves
EPI2691323,5,Charadriiformes
EPI2510281,4,Aves
EPI2242299,5,Charadriiformes
EPI2712300,2,Anseriformes
EPI2613782,4,Aves
EPI2752262,2,Anseriformes
EPI3158739,6,Artiodactyla
EPI2122809,4,Aves
EPI2074588,4,Aves
EPI3604368,6,Artiodactyla
EPI2752240,2,Anseriformes
EPI3236498,A,Galliformes
EPI3575083,6,Artiodactyla
EPI3317108,6,Artiodactyla
EPI2082797,4,Aves
EPI3479372,6,Artiodactyla
EPI2505100,4,Aves
EPI2868809,4,Aves
EPI2008613,4,Aves
EPI3093143,2,Anseriformes
EPI672809,A,Galliformes
EPI2576542,5,Charadriiformes
EPI2232778,2,Anseriformes
EPI2429156,4,Aves
EPI3303042,4,Aves
EPI2613950,4,Aves
EPI1930107,2,Anseriformes
EPI749337,F,Environment
EPI2236553,M,mammal
EPI2072336,A,Galliformes
EPI2274642,2,Anseriformes
EPI2609479,4,Aves
EPI2193403,4,Aves
EPI2752040,A,Galliformes
EPI2071344,2,Anseriformes
EPI284434,4,Aves
EPI3305624,4,Aves
EPI2412737,5,Charadriiformes
EPI2578052,A,Galliformes
EPI2140886,A,Galliformes
EPI2636980,4,Aves
EPI2751931,A,Galliformes
EPI1988853,4,Aves
EPI2856554,4,Aves
EPI2649346,A,Galliformes
EPI3607224,4,Aves
EPI3631391,4,Aves
EPI3315824,4,Aves
EPI2415398,2,Anseriformes
EPI3310252,4,Aves
EPI2626188,4,Aves
EPI2017770,4,Aves
EPI3637580,2,Anseriformes
EPI3314840,4,Aves
EPI2608619,8,Carnivora
EPI2086050,4,Aves
EPI2067291,4,Aves
EPI2291557,4,Aves
EPI2455244,4,Aves
EPI2208911,2,Anseriformes
EPI2778849,4,Aves
EPI2884808,A,Galliformes
EPI3591212,5,Charadriiformes
EPI2314310,A,Galliformes
EPI3054221,2,Anseriformes
EPI475579,2,Anseriformes
EPI2029866,2,Anseriformes
EPI2162897,2,Anseriformes
EPI3599264,6,Artiodactyla
EPI3302730,4,Aves
EPI2709618,2,Anseriformes
EPI3591076,5,Charadriiformes
EPI2223319,4,Aves
EPI2789230,4,Aves
EPI2197801,4,Aves
EPI3355321,A,Galliformes
EPI3309432,4,Aves
EPI3309728,4,Aves
EPI2703224,2,Anseriformes
EPI1877873,4,Aves
EPI3041271,4,Aves
EPI3053987,2,Anseriformes
EPI2185431,4,Aves
EPI3298580,4,Aves
EPI2586373,M,mammal
EPI2815288,A,Galliformes
EPI2147698,?,Galliformes
EPI2622913,4,Aves
EPI2780151,8,Carnivora
EPI2742571,4,Aves
EPI184219,2,Anseriformes
EPI2760804,4,Aves
EPI2648241,4,Aves
EPI2536964,5,Charadriiformes
EPI2721989,A,Galliformes
EPI2913244,M,mammal
EPI2178846,4,Aves
EPI2397400,5,Charadriiformes
EPI2021894,2,Anseriformes
EPI2185384,4,Aves
EPI1959914,A,Galliformes
EPI3605322,4,Aves
EPI2536842,2,Anseriformes
EPI3222840,2,Anseriformes
EPI2597184,A,Galliformes
EPI3171488,J,Primates
EPI2608681,H,Falconiformes
EPI3434290,4,Aves
EPI2649347,2,Anseriformes
EPI2703293,4,Aves
EPI2015009,2,Anseriformes
EPI2849812,4,Aves
EPI2191425,4,Aves
EPI2185368,4,Aves
EPI1922851,2,Anseriformes
EPI2475223,4,Aves
EPI2428394,4,Aves
EPI2863072,4,Aves
EPI2397416,4,Aves
EPI1930035,2,Anseriformes
EPI2742907,4,Aves
EPI2300721,4,Aves
EPI3261411,6,Artiodactyla
EPI2178139,4,Aves
EPI2296209,8,Carnivora
EPI2666765,4,Aves
EPI2856491,4,Aves
EPI3351062,4,Aves
EPI2886437,4,Aves
EPI3298548,4,Aves
EPI2246152,4,Aves
EPI1933663,A,Galliformes
EPI2246104,4,Aves
EPI2219950,Q,Sphenisciformes
EPI2456463,?,Galliformes
EPI2436859,2,Anseriformes
EPI2473706,M,mammal
EPI3418491,6,Artiodactyla
EPI3052580,4,Aves
EPI590110,A,Galliformes
EPI3324293,2,Anseriformes
EPI2075666,A,Galliformes
EPI2176037,A,Galliformes
EPI3041418,4,Aves
EPI2191117,A,Galliformes
EPI3313530,4,Aves
EPI2906342,4,Aves
EPI2709266,4,Aves
EPI2703120,2,Anseriformes
EPI2505271,H,Falconiformes
EPI3484684,4,Aves
EPI2648167,2,Anseriformes
EPI3493988,4,Aves
EPI2140456,A,Galliformes
EPI2509899,M,mammal
EPI1962041,4,Aves
EPI2603856,4,Aves
EPI2788942,4,Aves
EPI2635179,5,Charadriiformes
EPI2008805,4,Aves
EPI3626026,4,Aves
EPI3526260,6,Artiodactyla
EPI3328383,4,Aves
EPI3312058,4,Aves
EPI2235609,M,mammal
EPI3323942,2,Anseriformes
EPI3298236,4,Aves
EPI2906318,4,Aves
EPI2555073,4,Aves
EPI2560279,2,Anseriformes
EPI1980411,2,Anseriformes
EPI2751556,A,Galliformes
EPI2167303,A,Galliformes
EPI2689451,2,Anseriformes
EPI3609543,4,Aves
EPI2049857,N,Struthioniformes
EPI3315032,4,Aves
EPI2510329,4,Aves
EPI2906382,4,Aves
EPI2071872,0,Accipitriformes
EPI2505945,4,Aves
EPI2102601,4,Aves
EPI2131367,M,mammal
EPI2613854,4,Aves
EPI2072032,2,Anseriformes
EPI1944198,2,Anseriformes
EPI1859953,M,mammal
EPI2363396,A,Galliformes
EPI1946295,2,Anseriformes
EPI355448,A,Galliformes
EPI3310930,4,Aves
EPI2181795,A,Galliformes
EPI2129903,2,Anseriformes
EPI3484756,4,Aves
EPI3649172,6,Artiodactyla
EPI3312434,4,Aves
EPI2635153,2,Anseriformes
EPI2560159,A,Galliformes
EPI3306651,4,Aves
EPI3277485,4,Aves
EPI2134262,A,Galliformes
EPI3093263,A,Galliformes
EPI2909774,4,Aves
EPI3559888,2,Anseriformes
EPI3391409,4,Aves
EPI2071568,2,Anseriformes
EPI3298596,4,Aves
EPI3308784,4,Aves
EPI2242308,5,Charadriiformes
EPI2609443,A,Galliformes
EPI2428936,4,Aves
EPI2300643,2,Anseriformes
EPI3315368,4,Aves
EPI3314098,4,Aves
EPI2702370,2,Anseriformes
EPI3313978,4,Aves
EPI3299236,4,Aves
EPI3226938,2,Anseriformes
EPI2098374,A,Galliformes
EPI3395212,4,Aves
EPI2067331,4,Aves
EPI2352522,2,Anseriformes
EPI2198796,2,Anseriformes
EPI2536841,2,Anseriformes
EPI2712364,2,Anseriformes
EPI2236192,8,Carnivora
EPI3053184,2,Anseriformes
EPI2158696,4,Aves
EPI2815239,2,Anseriformes
EPI2856668,4,Aves
EPI2789358,F,Environment
EPI2264107,4,Aves
EPI2665363,4,Aves
EPI2637032,Q,Sphenisciformes
EPI97201,A,Galliformes
EPI3308504,4,Aves
EPI2779164,4,Aves
EPI2815845,4,Aves
EPI3304184,4,Aves
EPI2664958,5,Charadriiformes
EPI3591243,5,Charadriiformes
EPI2699155,4,Aves
EPI3280497,F,Environment
EPI2278297,4,Aves
EPI2467480,2,Anseriformes
EPI2191469,4,Aves
EPI1946391,2,Anseriformes
EPI2780554,4,Aves
EPI1927502,4,Aves
EPI2758928,A,Galliformes
EPI3605595,4,Aves
EPI2178646,4,Aves
