Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
OM373232.1,Influenza A virus,A/eurasian coot/Shandong/W5611/2020,,eurasian coot,,2020
MZ882181.1,Influenza A virus,A/goose/China/21FU005/2020,Tissues,goose,,2020
MZ166278.1,Influenza A virus,A/Mule_duck/France/20339/2020,Wipe,Mule_duck,,2020
MW505409.1,Influenza A virus,A/Cygnus columbianus/Hubei/56/2020,oropharyngeal swab,Cygnus columbianus,,2020
MW505377.1,Influenza A virus,A/Cygnus columbianus/Hubei/50/2020,oropharyngeal swab,Cygnus columbianus,,2020
PV410869.1,Influenza A virus,A/chicken/Viet Nam/LBFecal172LC/2021,feces,chicken,,2021
LC627372.1,Influenza A virus,A/common teal/Chiba/T42-F1/2021,,Anas crecca,,2021
LC633389.1,Influenza A virus,A/chicken/Chiba/T49-18/2021,,Gallus gallus domesticus,,2021
MZ882177.1,Influenza A virus,A/goose/China/21FU001/2020,Tissues,goose,,2020
MZ166310.1,Influenza A virus,A/Mule_duck/France/21064/2021,Tracheal_swab,Mule_duck,,2021
MW505401.1,Influenza A virus,A/Cygnus columbianus/Hubei/53/2020,oropharyngeal swab,Cygnus columbianus,,2020
MW505393.1,Influenza A virus,A/Cygnus columbianus/Hubei/52/2020,oropharyngeal swab,Cygnus columbianus,,2020
PV422997.1,Influenza A virus,A/Bird/Indonesia/EPI_ISL_NA19613421/2022,feces,Bird,,2022
LC633397.1,Influenza A virus,A/chicken/Chiba/T50-23/2021,,Gallus gallus domesticus,,2021
PV410898.1,Influenza A virus,A/chicken/Viet Nam/LBFecal177LC/2021,feces,chicken,,2021
PV410876.1,Influenza A virus,A/chicken/Viet Nam/LBFecal179LC/2021,feces,chicken,,2021
MW947145.1,Influenza A virus,A/goose/China/1/2021,trachea and lungs,goose,,2021
OL442767.1,Influenza A virus,A/environment sample/China/TZ001/2021,duck neck,environment sample,,2021
MZ882184.1,Influenza A virus,A/goose/China/21FU008/2020,Tissues,goose,,2020
MZ882180.1,Influenza A virus,A/goose/China/21FU004/2020,Tissues,goose,,2020
MW961438.1,Influenza A virus,A/chicken/Nigeria/VRD21-035B_21VIR2288-1/2021,isolates,chicken,,2021
MW961430.1,Influenza A virus,A/chicken/Nigeria/VRD21-43_21VIR2288-4/2021,isolates,chicken,,2021
PV410906.1,Influenza A virus,A/chicken/Viet Nam/LBOral120MC/2021,oropharyngeal swabs,chicken,,2021
MW275975.1,Influenza A virus,A/tundra swan/Shanghai/CM20111601/2020,nasal swab,tundra swan,,2020
OP740954.1,Influenza A virus,A/Aviafauna/Kazakhstan/NA-6/2020,Cloacal swabs,Aviafauna,,2020
MZ882179.1,Influenza A virus,A/goose/China/21FU003/2020,Tissues,goose,,2020
MZ166244.1,Influenza A virus,A/Mule_duck/France/21061/2021,Wipe,Mule_duck,,2021
MW961478.1,Influenza A virus,A/chicken/Nigeria/VRD21-53B_21VIR2288-5/2021,isolates,chicken,,2021
MW961446.1,Influenza A virus,A/chicken/Nigeria/VRD21-100_21VIR2370-423/2021,organ,chicken,,2021
OM373312.1,Influenza A virus,A/wild duck/Shandong/W3580/2020,,wild duck,,2020
MZ882183.1,Influenza A virus,A/goose/China/21FU007/2020,Tissues,goose,,2020
MZ882182.1,Influenza A virus,A/goose/China/21FU006/2020,Tissues,goose,,2020
MZ882178.1,Influenza A virus,A/goose/China/21FU002/2020,Tissues,goose,,2020
PV422996.1,Influenza A virus,A/Bird/Indonesia/EPI_ISL_NA19613422/2022,feces,Bird,,2022
PV410883.1,Influenza A virus,A/chicken/Viet Nam/LBOral133LC/2021,oropharyngeal swabs,chicken,,2021
LC633421.1,Influenza A virus,A/water/Nagano/SW0214/2021,pond water,,,2021
MW960415.1,Influenza A virus,A/Mute Swan/China/Shandong1/2021,liver,Mute Swan,,2021
ON943056.1,Influenza A virus,A/chicken/Kazakhstan/23/2020,,chicken,,2020
MW137803.1,Influenza A virus,A/chicken/Egypt/F17230B/2019,Oral-pharyngeal,Gallus gallus,,2019
ON716390.1,Influenza A virus,A/Duck/Cambodia/f4K241D3_C/2021,cloacal swab,duck,,2021
LC699642.1,Influenza A virus,A/environment/Akita/TU1-49/2021,Environmental swab samples in poultry farm,,,2021
OK022329.1,Influenza A virus,A/swan/France/20P017709_NA/2020,swab,swan,,2020
OK022513.1,Influenza A virus,A/chicken/France/21P004103_NA/2021,swab,chicken,,2021
OL354628.1,Influenza A virus,A/chicken/Egypt/F17230D/2019,Oral-pharyngeal,Gallus gallus,,2019
MT261711.1,Influenza A virus,A/duck/Egypt/A16793/2019,Oral-pharyngeal,Anas sp.,,2019
OK022465.1,Influenza A virus,A/black swan/France/21P000799_NA/2021,swab,black swan,,2021
OK022425.1,Influenza A virus,A/guineafowl/France/20P018381_NA/2020,swab,guineafowl,,2020
OK022369.1,Influenza A virus,A/duck/France/20P017941_NA/2020,swab,duck,,2020
OK022353.1,Influenza A virus,A/common shelduck/France/20P017777_NA/2020,swab,common shelduck,,2020
OK022337.1,Influenza A virus,A/goose/France/20P017724_NA/2020,swab,goose,,2020
OK022281.1,Influenza A virus,A/chicken/France/20P016448_NA/2020,swab,chicken,,2020
ON716389.1,Influenza A virus,A/Duck/Cambodia/f1PPChba241D6/2021,tracheal swab,duck,,2021
LC699658.1,Influenza A virus,"A/chicken/Kagoshima/TU3-46,47/2021",Mixture of tracheal and cloacal swabs,Gallus gallus domesticus,,2021
LC699146.1,Influenza A virus,A/water/Tottori/NK1201-2/2021,environmental water,,,2021
OK022393.1,Influenza A virus,A/Canard/France/20P017978_NA/2020,swab,Canard,,2020
OK022361.1,Influenza A virus,A/duck/France/20P017862_NA/2020,swab,duck,,2020
OK022345.1,Influenza A virus,A/duck/France/20P017736_NA/2020,swab,duck,,2020
OP748414.1,Influenza A virus,A/chicken/China/JM01/2020,lung,chicken,,2020
ON716392.1,Influenza A virus,A/Duck/Cambodia/f6T241D4/2021,tracheal swab,duck,,2021
ON716388.1,Influenza A virus,A/Duck/Cambodia/f1PPOreu241D3_C/2021,cloacal swab,duck,,2021
MW276113.1,Influenza A virus,A/domestic goose/Omsk/1521-1/2020,internal organs,domestic goose,,2020
OK022601.1,Influenza A virus,A/chicken/France/21P008169_NA/2021,swab,chicken,,2021
OK022553.1,Influenza A virus,A/white stork/France/21P007383_NA/2021,swab,white stork,,2021
OK022473.1,Influenza A virus,A/duck/France/21P001421_NA/2021,swab,duck,,2021
OK022401.1,Influenza A virus,A/chciken/France/20P018267_NA/2020,swab,chciken,,2020
PQ412308.1,Influenza A virus,A/ducks/Egypt/F653-18/2022,SWABS AND ORGANS,ducks,,2022
OL354984.1,Influenza A virus,A/Duck/Egypt/A19643/2021,Oral-pharyngeal,Anas sp.,,2021
OK022633.1,Influenza A virus,A/duck/France/21P010252_NA/2021,swab,duck,,2021
OK022545.1,Influenza A virus,A/chicken/France/21P007258_NA/2021,swab,chicken,,2021
OK022537.1,Influenza A virus,A/swan/France/21P006202_NA/2021,swab,swan,,2021
OK022481.1,Influenza A virus,A/swan/France/21P002105_NA/2021,swab,swan,,2021
PQ412320.1,Influenza A virus,A/ducks/Egypt/F653-25/2022,SWABS AND ORGANS,ducks,,2022
OK022489.1,Influenza A virus,A/swan/France/21P002108_NA/2021,swab,swan,,2021
OK022617.1,Influenza A virus,A/chicken/France/21P008986_NA/2021,swab,chicken,,2021
OK022593.1,Influenza A virus,A/swan/France/21P007640_NA/2021,swab,swan,,2021
OK022577.1,Influenza A virus,A/chicken/France/21P007577_NA/2021,swab,chicken,,2021
OL354927.1,Influenza A virus,A/duck/Egypt/A16368/2018,Oral-pharyngeal,Anas sp.,,2018
MT261400.1,Influenza A virus,A/chicken/Egypt/N16732/2019,Cloacal,Gallus gallus,,2019
OK022609.1,Influenza A virus,A/chicken/France/21P008654_NA/2021,swab,chicken,,2021
PQ591831.1,Influenza A virus,A/California/150/2024,,Homo sapiens,,2024
PQ493717.1,Influenza A virus,A/California/152/2024,,Homo sapiens,,2024
PQ493710.1,Influenza A virus,A/California/150/2024,,Homo sapiens,,2024
PQ790076.1,Influenza A virus,A/California/213/2024,,Homo sapiens,,2024
PV091375.1,Influenza A virus,A/Bovine/California/T2402448/2024,placenta,bovine,,2024
PQ615344.1,Influenza A virus,A/California/173/2024,,Homo sapiens,,2024
PQ524082.1,Influenza A virus,A/California/168/2024,,Homo sapiens,,2024
PQ524074.1,Influenza A virus,A/California/155/2024,,Homo sapiens,,2024
PQ468750.1,Influenza A virus,A/California/148/2024,,Homo sapiens,,2024
PQ373713.1,Influenza A virus,A/cattle/Idaho/Broad_ME_023/2024,retail milk,cattle,,2024
PQ468763.1,Influenza A virus,A/California/147/2024,,Homo sapiens,,2024
PQ435222.1,Influenza A virus,A/California/135/2024,,Homo sapiens,,2024
PQ162282.1,Influenza A virus,A/dairy cow/Texas/A240750066-18/2024,mammary LF,dairy cow,,2024
PP600145.1,Influenza A virus,A/cattle/Texas/56283/2024,nasal swab,bovine,,2024
PP599467.1,Influenza A virus,A/Bovine/texas/24-029328-01/2024,milk,bovine,,2024
PV647682.1,Influenza A virus,A/cattle/Colorado/H5N1_CO_Milk/2024,milk,cattle,,2024
PV643540.1,Influenza A virus,A/dairy cow/Ohio/OH24-8700-2/2024,milk,Bos taurus,,2024
PV124893.1,Influenza A virus,A/dairy cattle/Hong Kong/RG-DelNS1-p10/2024,embryonated chicken eggs,dairy cattle,,2024
PQ106530.1,Influenza A virus,A/Colorado/139/2024,,Homo sapiens,,2024
PQ106510.1,Influenza A virus,A/Colorado/137/2024,,Homo sapiens,,2024
PP914104.1,Influenza A virus,A/cattle/Texas/MP10/2024,milk,cattle,,2024
PP599475.1,Influenza A virus,A/bovine/texas/24-029328-02/2024,milk,bovine,,2024
PQ724473.1,Influenza A virus,A/California/192/2024,,Homo sapiens,,2024
PV576484.1,Influenza A virus,A/feline/San Bernardino County/297271-24/2024,urine,feline,,2024
PQ773291.1,Influenza A virus,A/California/196/2024,,Homo sapiens,,2024
PQ032838.1,Influenza A virus,A/Colorado/109/2024,,Homo sapiens,,2024
PV026110.1,Influenza A virus,A/feline/New Mexico/F001/2024,Tissue from brain,Felis catus,,2024
PP914096.1,Influenza A virus,A/Grackle/Texas/USL_047/2024,oral swab,Grackle,,2024
PQ060142.1,Influenza A virus,A/Colorado/134/2024,,Homo sapiens,,2024
PP836401.1,Influenza A virus,A/bovine/Ohio/B24OSU-302/2024,,bovine,,2024
PQ373689.1,Influenza A virus,A/cattle/Idaho/Broad_ME_015/2024,retail milk,cattle,,2024
PP836521.1,Influenza A virus,A/bovine/Ohio/B24OSU-497/2024,clinical cow milk,bovine,,2024
PP836497.1,Influenza A virus,A/bovine/Ohio/B24OSU-472/2024,clinical cow milk,bovine,,2024
PP836465.1,Influenza A virus,A/bovine/Ohio/B24OSU-432/2024,clinical cow milk,bovine,,2024
PP836441.1,Influenza A virus,A/bovine/Ohio/B24OSU-378/2024,clinical cow milk,bovine,,2024
PP839261.1,Influenza A virus,A/Michigan/90/2024,,Homo sapiens,,2024
PP577945.1,Influenza A virus,A/Texas/37/2024,,Homo sapiens,,2024
PV601993.1,Influenza A virus,A/bovine/Kansas/Inoc-TX-24-029328-01/2024,passaged in bovine uterine epithelial cells for 3 passages and subsequently passed on MDCK cells for 1 passage,bovine,,2024
PV601945.1,Influenza A virus,A/swine/Kansas/ExpPig51-BAL5DPI/2024,bronchoalveolar lavage,swine,,2024
PV601953.1,Influenza A virus,A/swine/Kansas/ExpPig61-BAL5DPI/2024,bronchoalveolar lavage,swine,,2024
PQ373729.2,Influenza A virus,A/cattle/Idaho/Broad_MF_006/2024,retail milk,cattle,,2024
PQ467105.1,Influenza A virus,A/California/146/2024,,Homo sapiens,,2024
PQ687281.1,Influenza A virus,A/cattle/CA/24-029891-001-original/2024,milk,cattle,,2024
PQ686585.1,Influenza A virus,A/California/190/2024,,Homo sapiens,,2024
PV601929.1,Influenza A virus,A/swine/Kansas/ExpPig50-BAL3DPI/2024,bronchoalveolar lavage,swine,,2024
PQ790068.1,Influenza A virus,A/California/214/2024,,Homo sapiens,,2024
PV457058.1,Influenza A virus,A/cattle/CA/25-002928-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PQ830751.1,Influenza A virus,A/cattle/CA/24-036576-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ482091.1,Influenza A virus,A/cattle/CA/24-025746-002-original/2024,milk,cattle,,2024
PP691929.1,Influenza A virus,A/blue-winged teal/Louisiana/UGAI23-893/2023,,Spatula discors,,2023
OR801087.1,Influenza A virus,A/Aves/Veracruz/CPA-18079-23/2023,"nasal swab, traquea swab, lung, spleen pool",Aves,,2023
PP761562.1,Influenza A virus,A/red-tailed hawk/South Carolina/W24-43/2024,Combined cloacal and oral-pharyngeal,Buteo jamaicensis,,2024
OR801095.1,Influenza A virus,A/Gallus gallus domesticus/Sonora/CPA-18486-23/2023,"nasal swab, traquea swab, lung, spleen pool",Gallus gallus,,2023
PP576941.1,Influenza A virus,A/trumpeter swan/Kansas/W23-928/2023,Combined cloacal and oral-pharyngeal,Cygnus buccinator,,2023
PV709431.1,Influenza A virus,A/cattle/CA/25-006243-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PV709407.1,Influenza A virus,A/cattle/CA/24-039016-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PV709359.1,Influenza A virus,A/cattle/CA/24-037823-001-original/2024,milk,cattle,,2024
PV649349.1,Influenza A virus,A/cattle/CA/25-004637-005-original/2025,"Milk, Bulk Tank",cattle,,2025
PV649341.1,Influenza A virus,A/cattle/CA/25-004241-002-original/2025,"Milk, Bulk Tank",cattle,,2025
PV649173.1,Influenza A virus,A/cattle/CA/24-032673-004-original/2024,milk,cattle,,2024
PV625155.1,Influenza A virus,A/cattle/CA/24-033005-001-original/2024,milk,cattle,,2024
PV615895.1,Influenza A virus,A/cattle/CA/25-002075-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PV615783.1,Influenza A virus,A/cattle/CA/24-034005-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV572419.1,Influenza A virus,A/cattle/CA/25-006029-002-original/2025,"Milk, Bulk Tank",cattle,,2025
PV572339.1,Influenza A virus,A/cat/WA/25-006544-001-original/2025,nasal swab,cat,,2025
PV494420.1,Influenza A virus,A/cattle/CA/24-036126-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PV494316.1,Influenza A virus,A/cattle/CA/24-035202-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV493815.1,Influenza A virus,A/cattle/CA/25-004804-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PV493655.1,Influenza A virus,A/cattle/CA/24-035000-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV493575.1,Influenza A virus,A/cattle/CA/24-034007-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV493535.1,Influenza A virus,A/cattle/CA/24-033860-001-original/2024,milk,cattle,,2024
PV456730.1,Influenza A virus,A/cattle/CA/24-037555-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV456706.1,Influenza A virus,A/cattle/CA/24-037371-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV456562.1,Influenza A virus,A/cattle/CA/24-034837-003-original-repeat2/2024,"Milk, Bulk Tank",cattle,,2024
PV456434.1,Influenza A virus,A/cattle/CA/24-033529-002-original/2024,milk,cattle,,2024
PV456418.1,Influenza A virus,A/cattle/CA/24-033017-001-original/2024,milk,cattle,,2024
PV456266.1,Influenza A virus,A/cat/OR/25-005800-001-original/2025,Oropharyngeal Swab,cat,,2025
PV396285.1,Influenza A virus,A/cattle/CA/25-000608-001-original/2024,milk,cattle,,2024
PV396221.1,Influenza A virus,A/cattle/CA/24-035199-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV338934.1,Influenza A virus,A/cattle/CA/25-004243-001-original/2025,"Milk, Bulk Tank",cattle,,2025
PV338710.1,Influenza A virus,A/cattle/CA/24-036136-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV218731.1,Influenza A virus,A/cattle/CA/24-034828-002-original-repeat2/2024,milk,cattle,,2024
PV218691.1,Influenza A virus,A/cattle/CA/24-034416-001-original/2024,milk,cattle,,2024
PV161521.1,Influenza A virus,A/chicken/CA/24-038444-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV161513.1,Influenza A virus,A/chicken/CA/24-038428-003-original/2024,Oropharyngeal Swab,chicken,,2024
PV161465.1,Influenza A virus,A/chicken/CA/24-035979-005-original/2024,Oropharyngeal Swab,chicken,,2024
PV161401.1,Influenza A virus,A/cattle/CA/24-038321-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PV161377.1,Influenza A virus,A/cattle/CA/24-038320-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV161193.1,Influenza A virus,A/cattle/CA/24-035855-001-original-repeat2/2024,milk,cattle,,2024
PV161145.1,Influenza A virus,A/cattle/CA/24-035203-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV160905.1,Influenza A virus,A/cattle/CA/24-034994-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PV160409.1,Influenza A virus,A/cattle/CA/24-032777-002-original/2024,"Milk, Bulk Tank",cattle,,2024
PV160313.1,Influenza A virus,A/cattle/CA/24-031333-001-original/2024,milk,cattle,,2024
PV160241.1,Influenza A virus,A/cat/CA/24-039057-001-original/2024,oral swab,cat,,2024
PV159753.1,Influenza A virus,A/Rock Pigeon/CA/24-030989-002-original/2024,Cloacal/Oropharyngeal Swab Pool,Rock Pigeon,,2024
PV071943.1,Influenza A virus,A/cattle/CA/24-034260-003-original/2024,milk,cattle,,2024
PV070959.1,Influenza A virus,A/Turkey/CA/24-037523-001-original/2024,Oropharyngeal Swab,turkey,,2024
PV060443.1,Influenza A virus,A/cattle/CA/24-034947-001-original/2024,milk,cattle,,2024
PV060427.1,Influenza A virus,A/cattle/CA/24-034653-001-original/2024,milk,cattle,,2024
PV060355.1,Influenza A virus,A/cattle/CA/24-033857-003-original/2024,milk,cattle,,2024
PP755823.1,Influenza A virus,A/cattle/Texas/24-009110-024/2024,milk,cattle,,2024
PP752655.1,Influenza A virus,A/cattle/Texas/24-009028-019/2024,milk,cattle,,2024
PQ068572.1,Influenza A virus,A/bovine/New Mexico/A240920343-99/2024,milk,dairy cow,,2024
PQ667568.1,Influenza A virus,A/cattle/MI/24-014287-001-original/2024,milk,cattle,,2024
PQ667560.1,Influenza A virus,A/cattle/MI/24-013789-012-original/2024,milk,cattle,,2024
PQ667536.1,Influenza A virus,A/cattle/MI/24-013789-009-original/2024,milk,cattle,,2024
PQ664139.1,Influenza A virus,A/cattle/NM/24-028969-006-original/2024,milk,cattle,,2024
PQ664099.1,Influenza A virus,A/cattle/NM/24-023930-006-original/2024,milk,cattle,,2024
PQ664075.1,Influenza A virus,A/cattle/NM/24-023930-003-original/2024,milk,cattle,,2024
PQ529106.1,Influenza A virus,A/cattle/MI/24-015307-001-original/2024,milk,cattle,,2024
PQ482219.1,Influenza A virus,A/cattle/MI/24-016804-001-original/2024,milk,cattle,,2024
PQ220930.1,Influenza A virus,A/chicken/NM/24-011263-002-original/2024,tracheal swab,chicken,,2024
PQ052340.1,Influenza A virus,A/cattle/TX/24-016337-001-original/2024,milk,cattle,,2024
PQ052132.1,Influenza A virus,A/cattle/TX/24-012457-001-original/2024,milk,cattle,,2024
PQ051452.1,Influenza A virus,A/cat/NM/24-012046-001-original/2024,brain,cat,,2024
PQ051340.1,Influenza A virus,A/cat/CO/24-016313-001-original/2024,brain,cat,,2024
PQ051220.1,Influenza A virus,A/Red Fox/NM/24-014026-001-original/2024,Oropharyngeal Swab,red fox,,2024
PQ051148.1,Influenza A virus,A/House Mouse/NM/24-014780-002-original/2024,Oropharyngeal Swab,House Mouse,,2024
PQ010765.1,Influenza A virus,A/Chicken/Texas/24-008355-006-original/2024,oropharyngeal swab,chicken,,2024
PP824556.1,Influenza A virus,A/cattle/New Mexico/24-010192-003/2024,,cattle,,2024
PP799735.1,Influenza A virus,A/cattle/New Mexico/24-010330-013-300/2024,,cattle,,2024
PP756015.1,Influenza A virus,A/cattle/Michigan/24-010303-001/2024,milk,cattle,,2024
PP755887.1,Influenza A virus,A/cattle/Texas/24-009109-002/2024,milk,cattle,,2024
PP755751.1,Influenza A virus,A/cattle/Texas/24-009495-008/2024,milk,cattle,,2024
PP755743.1,Influenza A virus,A/cattle/Texas/24-009495-005/2024,,cattle,,2024
PP755799.1,Influenza A virus,A/cattle/Texas/24-009499-002/2024,,cattle,,2024
PP755727.1,Influenza A virus,A/cattle/Texas/24-009495-007/2024,,cattle,,2024
PP753663.1,Influenza A virus,A/chicken/Texas/24-009654-004/2024,Oropharyngeal swab,chicken,,2024
PP753615.1,Influenza A virus,A/cattle/Texas/24-009310-005/2024,milk,cattle,,2024
PP753287.1,Influenza A virus,A/cattle/Texas/24-009110-011/2024,milk,cattle,,2024
PP753135.1,Influenza A virus,A/cattle/Texas/24-009110-023/2024,milk,cattle,,2024
PP753103.1,Influenza A virus,A/cattle/Texas/24-009110-019/2024,milk,cattle,,2024
PP753095.1,Influenza A virus,A/cattle/Texas/24-009110-018/2024,milk,cattle,,2024
PP752935.1,Influenza A virus,A/cattle/Texas/24-009495-012/2024,milk,cattle,,2024
PP752895.1,Influenza A virus,A/cattle/Texas/24-009110-010/2024,milk,cattle,,2024
PP752871.1,Influenza A virus,A/cattle/Texas/24-009110-006/2024,milk,cattle,,2024
PP752831.1,Influenza A virus,A/cattle/Texas/24-009108-005/2024,milk,cattle,,2024
PP752815.1,Influenza A virus,A/cattle/Texas/24-009108-003/2024,milk,cattle,,2024
PP752799.1,Influenza A virus,A/cattle/Texas/24-009108-001/2024,milk,cattle,,2024
PP752791.1,Influenza A virus,A/cattle/Texas/24-009110-003/2024,milk,cattle,,2024
PP752783.1,Influenza A virus,A/cattle/Texas/24-009110-002/2024,milk,cattle,,2024
PP752663.1,Influenza A virus,A/cattle/Texas/24-009029-001/2024,Mammary tissue,cattle,,2024
PP732378.1,Influenza A virus,A/Dairy cattle/Kansas/5/2024,environmental swabs,Dairy cattle,,2024
PP737541.1,Influenza A virus,A/bovine/Ohio/B24OSU-UW11-863/2024,Udder wipe,bovine,,2024
PV132392.1,Influenza A virus,A/Bos taurus/Kansas/SM-3/2024,milk,Bos taurus,,2024
PQ833503.1,Influenza A virus,A/chicken/CA/24-037217-002-original/2024,Oropharyngeal Swab,chicken,,2024
PQ667656.1,Influenza A virus,A/cattle/MI/24-015306-001-original/2024,milk,cattle,,2024
PQ667576.1,Influenza A virus,A/cattle/MI/24-014881-002-original/2024,milk,cattle,,2024
PQ667472.1,Influenza A virus,A/cattle/MI/24-013787-002-original/2024,milk,cattle,,2024
PQ664115.1,Influenza A virus,A/cattle/NM/24-023930-010-original/2024,milk,cattle,,2024
PQ528978.1,Influenza A virus,A/cattle/CO/24-017048-007-original/2024,milk,cattle,,2024
PQ528970.1,Influenza A virus,A/cattle/CO/24-017048-005-original/2024,milk,cattle,,2024
PQ528954.1,Influenza A virus,A/cattle/CO/24-017048-001-original/2024,milk,cattle,,2024
PQ482187.1,Influenza A virus,A/cattle/MI/24-013999-003-original/2024,milk,cattle,,2024
PQ468628.1,Influenza A virus,A/cattle/MN/24-019167-001-original/2024,milk,cattle,,2024
PQ423564.1,Influenza A virus,A/cattle/SD/24-021716-001-original/2024,milk,cattle,,2024
PQ423420.1,Influenza A virus,A/cattle/CO/24-022858-001-original/2024,milk,cattle,,2024
PQ423396.1,Influenza A virus,A/cattle/CO/24-022845-001-original/2024,"Milk, Bulk Tank",cattle,,2024
PQ423340.1,Influenza A virus,A/cattle/CO/24-020715-003-original/2024,milk,cattle,,2024
PQ423300.1,Influenza A virus,A/cattle/CO/24-020027-001-original/2024,milk,cattle,,2024
PQ379401.1,Influenza A virus,A/cattle/MN/24-017652-003-original/2024,milk,cattle,,2024
PQ379393.1,Influenza A virus,A/cattle/MN/24-017652-002-original/2024,milk,cattle,,2024
PQ379233.1,Influenza A virus,A/cattle/IA/24-018958-001-original/2024,milk,cattle,,2024
PQ379185.1,Influenza A virus,A/cattle/IA/24-018271-001-original/2024,milk,cattle,,2024
PQ379145.1,Influenza A virus,A/cattle/IA/24-017490-001-original/2024,milk,cattle,,2024
PQ379137.1,Influenza A virus,A/cattle/IA/24-017484-007-original/2024,milk,cattle,,2024
PQ379105.1,Influenza A virus,A/cattle/IA/24-017484-003-original/2024,milk,cattle,,2024
PQ379073.1,Influenza A virus,A/cattle/CO/24-022332-011-original/2024,milk,cattle,,2024
PQ379041.1,Influenza A virus,A/cattle/CO/24-022176-001-original/2024,milk,cattle,,2024
PQ379001.1,Influenza A virus,A/cattle/CO/24-022159-002-original/2024,milk,cattle,,2024
PQ378993.1,Influenza A virus,A/cattle/CO/24-021996-002-original/2024,milk,cattle,,2024
PQ378945.1,Influenza A virus,A/cattle/CO/24-021340-001-original/2024,milk,cattle,,2024
PQ378937.1,Influenza A virus,A/cattle/CO/24-020941-002-original/2024,milk,cattle,,2024
PQ378697.1,Influenza A virus,A/cattle/CO/24-020712-002-original/2024,milk,cattle,,2024
PQ378641.1,Influenza A virus,A/cattle/CO/24-020284-005-original/2024,milk,cattle,,2024
PQ378617.1,Influenza A virus,A/cattle/CO/24-020284-001-original/2024,milk,cattle,,2024
PQ378601.1,Influenza A virus,A/cattle/CO/24-020175-002-original/2024,milk,cattle,,2024
